project,sha,author,commit_date,is_bug
'ActionBarSherlock','12fcd68c36797540d9ec88e728c1db7a0825255a','Jake Wharton','2013-07-28','False'
'ActionBarSherlock','8199948c9adbdc712b45f69e34584c665b9d062c','Jake Wharton','2013-07-28','False'
'ActionBarSherlock','3a1c3e5f7e7c619ef64e06448ff9a55cd10f6362','Jake Wharton','2013-07-02','False'
'ActionBarSherlock','dac95a2abb3f697c4d361e050d5a882bf135610b','Jake Wharton','2013-07-02','False'
'ActionBarSherlock','12ea33df8149a3d5548d095994fcb62d372db349','Jake Wharton','2013-07-02','False'
'ActionBarSherlock','1ccd2d54e1ba77cd1b2ecd1b5c716e0e6dd5252a','Jake Wharton','2013-07-02','False'
'ActionBarSherlock','0f07d2dde53d1445addbebf440c29dc5adbcf539','alexander-mironov','2013-06-12','False'
'ActionBarSherlock','860539ec77344fd516943d267d6bc748e1956191','Karsten Sperling','2013-06-06','False'
'ActionBarSherlock','6ac7392d8f3da4089ee9efb8efe833ddb4dd1557','Alex Yanchenko','2013-05-28','True'
'ActionBarSherlock','beb29c500f552a7fe168bc0a9a39a8e3fa5ff2b4','Ikram','2013-05-23','False'
'ActionBarSherlock','d1ea971fe3ea4dc8f401c31af3426cb1c207ffb2','Jake Wharton','2013-05-19','False'
'ActionBarSherlock','d372f63439525ae3445aef7e0417a9a188268367','Jake Wharton','2013-04-15','False'
'ActionBarSherlock','a41c1c3e3920abd6ec93947887fa26d7afedb2ca','Jake Wharton','2013-04-13','False'
'ActionBarSherlock','bbcbb1e40a7c4819cccb8ff6fda161df64358051','Jake Wharton','2013-04-13','False'
'ActionBarSherlock','9c7de5a7ffee94b93725f611889336415189e631','Digipom Inc','2012-11-04','False'
'ActionBarSherlock','cce1c07eab1aeb90cb4991374a737327d99319f0','Digipom Inc','2012-11-04','True'
'ActionBarSherlock','b3470b219bf87f9744905ae6fd991b8ac425501d','Jake Wharton','2013-03-01','False'
'ActionBarSherlock','5daa4794f6a4b008e40a3eefd4dc2a79ad4edde7','Jake Wharton','2013-03-01','False'
'ActionBarSherlock','5e4ebd49bfc6b4f8d54ea7f9fe511fe25dae0edb','Jake Wharton','2013-03-01','False'
'ActionBarSherlock','03138ac23ec5bd33ed4ed1f1819d48b8d1d61775','Matthew Willis','2013-03-01','True'
'ActionBarSherlock','7d04106e8d626a73ede3a36936156f4e6d4ac405','Alexandr Tereshchuk','2013-02-25','True'
'ActionBarSherlock','76edab0d8531fa9c139d0e65b586a8f8dec565ba','Alexandr Tereshchuk','2013-02-25','True'
'ActionBarSherlock','74341ceaa128a256b8262d9ee56484b5e22878a9','Alexandr Tereshchuk','2013-02-25','True'
'ActionBarSherlock','8464734078caa1b73e7e7c749bd1f99354f2567b','Alexandr Tereshchuk','2013-02-25','True'
'ActionBarSherlock','b206285570d043e4ab129648ada63efe98778186','Jake Wharton','2013-01-28','False'
'ActionBarSherlock','79c47b718f99e662e9b65dfd49a340ea6415894f','Mike Burton','2013-01-22','True'
'ActionBarSherlock','35e2253c8ceb7dc8f9d0d97355491fdf0b34db89','Prototik','2013-01-22','True'
'ActionBarSherlock','5e6df7a24a7c1d5e4603d802fc68b808f0ede3d7','Matthew Michihara','2012-12-20','True'
'ActionBarSherlock','26fd3e7a6aa67c1ad0fcaa28050ea07f98e22fd5','Simon Vig Therkildsen','2013-01-21','False'
'ActionBarSherlock','7d132e95b4223b32010c1be08bbf006d6013cbe4','Simon Vig Therkildsen','2013-01-21','False'
'ActionBarSherlock','a21b8cb6e37559404f05e42b84f4d44b26bdce82','Prototik','2013-01-19','False'
'ActionBarSherlock','6c568add06aaea20e02a7dab7ffcae0e2b74ff27','Andrew Crichton','2013-01-16','False'
'ActionBarSherlock','a5e8a985c54cb8d58e035cb9787a0d7054543146','Prototik','2013-01-15','False'
'ActionBarSherlock','601bde214b56b8fad0b4fc5aaed5af0b531b6135','Jake Wharton','2013-01-14','False'
'ActionBarSherlock','145431d05e5196222f225477c24417d6d114db70','Jake Wharton','2013-01-14','False'
'ActionBarSherlock','0bb243557cf3abb3bec32f01e3115f3a5b37386a','Jake Wharton','2013-01-06','False'
'ActionBarSherlock','dfa17969dcec14b77f6617b84a911864fd8ceb84','Simon Vig Therkildsen','2012-12-25','False'
'ActionBarSherlock','28a97a4d7b9f66193ee5692ef1775f3782094e9c','Andrew Gaul','2012-12-13','False'
'ActionBarSherlock','68bb9cfb544d63ade3dec18bcdd4429e3b731ac9','Jake Wharton','2012-12-03','False'
'ActionBarSherlock','8b9c5cb617f161d73da916da94d453edb5b34f71','Jake Wharton','2012-12-03','False'
'ActionBarSherlock','1a357bac890b7b93fb5c3cef52453c47d4dd6785','Simon Vig Therkildsen','2012-11-25','True'
'ActionBarSherlock','507ffce3b7855594e29111e062f64e1388781b9f','Jake Wharton','2012-11-24','False'
'ActionBarSherlock','9cca1d5a5128ac48be07b2a230e4f2b88d5b9887','Jake Wharton','2012-11-24','False'
'ActionBarSherlock','c5ef4d9ea430181bfef2475b956652e2ec047a12','Tarkeshwar Thakur','2012-11-25','True'
'ActionBarSherlock','1e880a3a9f5d0e28d6e51cc9fdfb5bb08dee77ea','Matt Kranzler','2012-10-11','True'
'ActionBarSherlock','b5e0f00a76815efcbadffe6a3a782f44db047569','Jake Wharton','2012-11-17','False'
'ActionBarSherlock','3b86c65378a65dc8ae9017ad90a2da72e8cc2d30','Logan Johnson','2012-11-16','True'
'ActionBarSherlock','f60d6bc080354966033ae4b36fcf907652e64d38','Jeff Gilfelt','2012-11-10','False'
'ActionBarSherlock','2914af48551a60bbe05ccd30198f917937859f88','ChrisSmith','2012-11-03','False'
'ActionBarSherlock','c5f968c1a136a940a722f2cfc2a8ef0850de4a69','ChrisSmith','2012-11-03','True'
'ActionBarSherlock','0b93a7c5125ba3b3cd5200ec81b528762fd1a463','Michael Yin','2012-10-15','True'
'ActionBarSherlock','d6d764ced2b01aa86544a594f8cf4156d1fdc5e6','Jake Wharton','2012-10-07','False'
'ActionBarSherlock','55e69cd93e83e5c99709e87cb73418990404b06c','Jake Wharton','2012-10-07','False'
'ActionBarSherlock','c2b6cb5c726897175465f39c63aa21b31edb1311','Jake Wharton','2012-10-01','False'
'ActionBarSherlock','f7b5d9658a8010c44308fdd70581a219160862d9','Jake Wharton','2012-09-30','False'
'ActionBarSherlock','5cf1a6b16693192f33f659890245e1c3a6d8b9b3','Jake Wharton','2012-09-28','False'
