project,sha,author,commit_date,is_bug
'AndEngine','958b3a6d522b3a8ee9f9922f9af7f26e50882cc9','ebbybeh','2013-04-28','True'
'AndEngine','ba00560e775ea75755f10dd6480d106649928f9a','Nicolas Gramlich','2013-04-09','True'
'AndEngine','665d86bc0f9f61e24706fce69444a1a6f9afbf77','Nicolas Gramlich','2012-12-11','False'
'AndEngine','04e3b4a21834e36a9c7daed7a9514872f3baceeb','Scott Kennedy','2012-09-07','False'
'AndEngine','79c08fd68e1fee28e6c4d5cf4643d63336b9fd38','Scott Kennedy','2012-09-07','False'
'AndEngine','dfbf4615fc6682a5663b4095b0d34eac60d61efd','Scott Kennedy','2012-09-07','False'
'AndEngine','1bcad62bcb98e12dd462d1c0cde3e9ddbfbf3b4b','korn3l','2012-09-03','False'
'AndEngine','fccb7170dfebbf3dd72660fea9e3a7f5bd8e553d','winniehell','2012-08-03','False'
'AndEngine','59134daa4ac64cb6c0a7bc5cbd014e8f0c434858','winniehell','2012-08-03','False'
'AndEngine','c74cab7a88dfb1488b4ce7861dc03ea7b769aa5e','Scott Kennedy','2012-08-02','False'
'AndEngine','e0a6db08778bca6e52e89b0c9a090ab91228a1f4','Spencer Elliott','2012-07-16','False'
'AndEngine','4ee68dc881566d36c1fdada6c979d4642e26cd98','Michal Stawinski','2012-06-08','True'
'AndEngine','b18c7fa4c94e13c63b0ed586f04666aa576216b0','player_03','2012-05-19','False'
'AndEngine','adcc1a0325e23cde2f026e8b532cd3a1399a3639','Nicolas Gramlich','2012-05-16','True'
'AndEngine','59b7cd7f671fc0b57c832f6c2cc2c748e549179a','Nicolas Gramlich','2012-05-15','False'
'AndEngine','beca7b4871ea1c4e2b4f4e3df354233402a4e3a0','Nicolas Gramlich','2012-05-15','False'
'AndEngine','459475573bd6330045f804c6c4ad08874ff8083b','Nicolas Gramlich','2012-05-15','False'
'AndEngine','5e941a8fcfa3393d4ec2d80403241a8326060cbb','Nicolas Gramlich','2012-05-15','False'
'AndEngine','69a2f8b39b9243c4b00c51daf78d43c78f3ad36c','Nicolas Gramlich','2012-05-14','False'
'AndEngine','d0856cbadeed3e2e7d9ac0e0f654e03574f5b768','Nicolas Gramlich','2012-05-14','False'
'AndEngine','274cf0e5f5944464748cd504def6697774b85423','oleonov','2012-05-14','True'
'AndEngine','9be112af4e823f2f74d3b5a998dda29f9a2e40f2','Nicolas Gramlich','2012-05-10','True'
'AndEngine','0aae0ddb7d68a97e17ea29c06cdb7638f7d03dea','Nicolas Gramlich','2012-05-10','False'
'AndEngine','2edb5f216d02d105a4443f318b84b4b2686a0a8b','Nicolas Gramlich','2012-05-10','False'
'AndEngine','5d9d1b51058e41951efd49fce2c1474fcf598239','Nicolas Gramlich','2012-05-08','False'
'AndEngine','1e59a3f99b8a440b32d03253095add904369137e','Nicolas Gramlich','2012-05-07','False'
'AndEngine','b2c25bf8f99d63fbd76810ddced6174bf88821f5','Nicolas Gramlich','2012-05-07','False'
'AndEngine','ce7742b53c353c3ec51e9981f0f58d8d55d6a027','Michal Stawinski','2012-05-03','False'
'AndEngine','dcdeb80dc82f5407b154c49bef1b96470fc645dd','Michal Stawinski','2012-05-03','False'
'AndEngine','4db8c5cd05131f21285e5369320c0e10fc413ede','Michal Stawinski','2012-05-07','False'
'AndEngine','d3e70b002c56421f0466cc6cdb11db3e4f15ac30','Nicolas Gramlich','2012-05-07','False'
'AndEngine','aa63998675e82cbd5f4faf8e4db5c10ea2b7ceec','Nicolas Gramlich','2012-05-07','False'
'AndEngine','b08e0edff215e767066c71c73a582e3bdf7c03ad','Michal Stawinski','2012-05-07','False'
'AndEngine','c68ad5b8c87cde7c284cb9c7cc62a9aafb1ccfad','Nicolas Gramlich','2012-05-07','False'
'AndEngine','a40af1373b769b133825df60aac87d459c1b1ce4','Michal Stawinski','2012-05-06','True'
'AndEngine','d5db7daad7ec1332f0b4e4822bfe47812a03b407','Michal Stawinski','2012-04-27','False'
'AndEngine','0f2eb0612af447d1015aa7c76928442492157724','Michal Stawinski','2012-05-03','False'
'AndEngine','5506b9ae9d736a203d8856d0cb29557ea9bcbcef','Nicolas Gramlich','2012-05-01','False'
'AndEngine','dc7c3fcc8b2a20fe192764af3f0edd7b90d69a0f','Nicolas Gramlich','2012-05-01','False'
'AndEngine','fd0178db126cd7a749c49370bba9c20e01a49f52','Nicolas Gramlich','2012-05-01','False'
'AndEngine','9e6eb5e3934a740c2240944e1e945c597e3bfa69','Ivan Vershinin','2012-04-27','False'
'AndEngine','f729d80027a03d24d5612c9a78da1ada263fde16','Nicolas Gramlich','2012-04-26','True'
'AndEngine','3e1716271e744343f2c1ede69c7d9745a8f9a011','Nicolas Gramlich','2012-04-26','True'
'AndEngine','67fffdda6dfe700201f2c24d059f45e43bcca99d','Michal Stawinski','2012-04-26','False'
'AndEngine','69634a67782596fe8034d515b392ded4dd3ce9a4','Nicolas Gramlich','2012-04-25','False'
'AndEngine','d6bfb13f0135f0f0c4f02048615da36c23cb0671','Nicolas Gramlich','2012-04-25','False'
'AndEngine','83ee828546acbaeacdce5c1be183ce68846ec9c0','Nicolas Gramlich','2012-04-25','False'
'AndEngine','afca948405db429834b8cbf46c1b8be080602277','Nicolas Gramlich','2012-04-23','False'
'AndEngine','1de10068ecaa79d9a68d63c3f21f13b9874b3c0e','Nicolas Gramlich','2012-04-23','False'
'AndEngine','e9796d874de4c13ce0c47126d6118700e4c4eec2','Nicolas Gramlich','2012-04-23','False'
'AndEngine','9234876e31266723bc6504b46984546ce2c900da','Nicolas Gramlich','2012-04-23','False'
'AndEngine','7de05643adde3af59c0d024a8369af4366060bb8','Nicolas Gramlich','2012-04-23','True'
