project,sha,author,commit_date,is_bug
'Arduino','ae265a98b9e3e75425d7cd209963527c6da85f72','PaulStoffregen','2013-07-26','False'
'Arduino','66faf5d6c600127066b178e959c7a00f3ac6c31e','Cayci','2013-11-02','True'
'Arduino','a2111fdcf666392d549916c3ff4b8d7607c66251','Cayci','2013-10-28','False'
'Arduino','787f73dadebe147ab31333d0e0fab57afdf19c88','Cayci','2013-10-28','False'
'Arduino','21ef50beb435f5bf988b8f18d353fa9184f473aa','Federico Fissore','2013-10-14','False'
'Arduino','ec7996e8bea78de22759adf500a2e2e5da642107','Cristian Maglie','2013-05-22','True'
'Arduino','22997bbfd5c841a60e9a5909868c62cd459c798d','Cristian Maglie','2013-05-17','True'
'Arduino','4c73b8c0f3fe9ee3fb50f1ab36ccbeeb33d56967','Cristian Maglie','2013-05-17','True'
'Arduino','cf4584eb29c45c96ced13d11ff6a09005d225d17','Cristian Maglie','2013-05-15','True'
'Arduino','62846f1f1b206aac2c74a6491932c4780414d9e0','Cristian Maglie','2013-05-11','True'
'Arduino','13d821456712cb0b88f4406e5f6a5ef7407ba45d','Cristian Maglie','2013-05-11','False'
'Arduino','544445524a8b3d863e6713952ff106fa2e473e91','Federico Fissore','2012-12-04','False'
'Arduino','fa9566235d0a878f5c7a51342834548c59c0da3b','Cristian Maglie','2012-10-24','False'
'Arduino','8266ac5aad6b83abffcfe586807d08972d33e082','Federico Fissore','2012-10-19','True'
'Arduino','3d5c76a8a1eb1bea27869af85a99670a4761fbeb','Federico Fissore','2012-10-19','False'
'Arduino','29856fff53dda02118feef69aa0383fc2610683f','Federico Fissore','2012-10-19','False'
'Arduino','1cdf75d4df368cbb83cb0cd2092aaeaaf27e7c79','Cristian Maglie','2013-04-06','False'
'Arduino','8eab20516656e445843850febaad87893897f938','Federico Fissore','2012-10-18','False'
'Arduino','62a8a0149f148459490ddb3a80e4a8f36ef1f4b9','Cristian Maglie','2013-05-10','False'
'Arduino','d66e094a3be0e46da1bc65dc5508172d2ada90ec','Cristian Maglie','2013-05-10','False'
'Arduino','55ade2daeb05d2964194d6c8db774d5b2184c1d2','Cristian Maglie','2013-05-03','True'
'Arduino','f9135178d1ce2fa59b09f960247b6ea4236f53d9','PaulStoffregen','2013-04-22','True'
'Arduino','d66930fd6a8057e0d9c678cb5d449708a9062514','PaulStoffregen','2013-04-22','False'
'Arduino','1866050e0783e85b814c6afb57fa36318f3496bb','Cristian Maglie','2013-04-06','False'
'Arduino','eda3bd876777f54ac75c887936832595d21933ad','Cristian Maglie','2013-04-06','False'
'Arduino','c3b581b470fcaa2d8145cd8f6f626d17bb7093fb','Cristian Maglie','2013-03-29','False'
'Arduino','4139c59b1a9dce3676e458a75758dcf8f308fd5b','Cristian Maglie','2013-03-11','False'
'Arduino','1750ff0266662c9bbbbfcea7ebae9619166325a0','Shigeru KANEMOTO','2012-06-17','False'
'Arduino','24bef6b5593fc17c88186cabe0ffc6a53d54b7c6','Federico Fissore','2012-12-13','False'
'Arduino','a5067567ed639da048a0a85e7e5a419f47850928','Federico Fissore','2012-12-12','False'
'Arduino','b32ed2d45045c0e7c3a492f0a18ca06f26d2e8c8','Cristian Maglie','2012-12-07','False'
'Arduino','b532d96564176b7b0b9ad90b41a5acc3736b2f71','Cristian Maglie','2012-11-19','False'
'Arduino','b90f4889bd0b239f396cf4f42b341d34e3b5c245','David A. Mellis','2012-11-04','False'
'Arduino','f689991a59ff28d97e5c21c971e643a3b71f2c35','David A. Mellis','2012-11-01','False'
'Arduino','795df1e20748e620c7604b421d86f3bef94a93e2','David A. Mellis','2012-10-01','True'
'Arduino','c3d170ba8bf3425267c67764d3d2a229b7e1c64d','David A. Mellis','2012-09-24','False'
'Arduino','e2b99206d8698472a078b678b88ec9ef9c95b79d','David A. Mellis','2012-09-09','False'
'Arduino','5fa8cd4130504b082372467ca9ff53172de88312','None','2012-07-10','False'
'Arduino','2ca5d3e05611e1583636bbb5fc9438ffe4df531d','s17t.net','2012-08-30','False'
'Arduino','0a0b573d7cc8e1a155ca8309aa9526a87628c3b1','David A. Mellis','2012-08-23','False'
'Arduino','4a09287c4555e90a3d0c0b7282ae193207d0c62e','s17t.net','2012-08-23','False'
'Arduino','ab2d83fc80c4d2214cdf935dcfe21a0af962581b','s17t.net','2012-08-20','False'
'Arduino','d30bd8366074daa211433af7c32ee33f05fab28d','David A. Mellis','2012-07-19','False'
'Arduino','a01657b31241e08acbc03768fb4a13c0349597ae','David A. Mellis','2012-07-19','False'
'Arduino','4e657ba5e20329c01304b0bb7c5b29f015ae4195','David A. Mellis','2012-07-19','False'
'Arduino','e945d091c5c158c59dcfdbb61391065e3a0a1318','David A. Mellis','2012-07-14','True'
'Arduino','d903d81d609f2fbd97bfe37c6af05054f4387493','David A. Mellis','2012-07-14','True'
'Arduino','6030f9670b11389a054470a38f39ffcf8c2c6d85','David A. Mellis','2012-07-14','False'
'Arduino','1daeba6fd62fac4a1a36329e41933f0b85785b79','David A. Mellis','2012-06-24','True'
'Arduino','5e75bd4a9776dd6566ae938c72ac97957135733c','Andrew Stone','2012-06-08','True'
'Arduino','958c835ef04811b3c4e8127458d31f013df2f6ed','Andrew Stone','2012-06-06','True'
'Arduino','ec3c8123bf5f707a9b3d08a4c65eda75a9831405','Tibor Fekete','2012-06-04','True'
'Arduino','a9fedabe3cbd374cfc607314880e2abdd4ee28ea','David A. Mellis','2012-06-03','True'
'Arduino','0ebfbf8d2cf4cc21b61e615984b00fbef167a609','David A. Mellis','2012-06-01','True'
'Arduino','354685bbffd3923f031f179382d616ce90920c60','Rune Fauske','2012-05-29','False'
'Arduino','77ed2f4d62d51ca9d79f3353936e9d359d886ccb','David A. Mellis','2012-05-27','True'
'Arduino','c8720327a0fc140bc3ff18f23c0d60eeb6308eed','David A. Mellis','2012-05-16','False'
'Arduino','44573fc5f0b697b0696bfecf507183a299114c10','David Cuartielles','2012-05-11','False'
'Arduino','2df086b316e4e33e0dee991b8e58b546d4b71540','David Cuartielles','2012-04-16','False'
'Arduino','7b9c4c593596801e8bd83bef2c1e1f786d728d75','David Cuartielles','2012-04-15','False'
'Arduino','9a340926da3c2fbdce1048b9d0a1c09eca46ec85','dcuartielles','2012-04-11','True'
'Arduino','caeaa4571c3832982480a27e52f8435d85e2dc72','Zach Eveland','2012-04-09','False'
'Arduino','49be972ca40ba438e1f6cd4cebcbf5fb8f73ac87','David A. Mellis','2012-04-08','False'
'Arduino','ea4693026e33706c7a314610f3f75e4583c2bdcc','David A. Mellis','2012-04-08','False'
'Arduino','3ea9d4734fd4e2d5404db05c3aa863532e0be67d','David A. Mellis','2012-04-08','False'
'Arduino','189e023346926127cefeed1c57eb1629f7ecaba0','David A. Mellis','2012-04-08','False'
'Arduino','3875a6c00f34bbb06e6492a4e92b9c0c7d4b69a9','David A. Mellis','2012-04-08','False'
'Arduino','b816571772fad1c3b72c3c9ffa562fbbb8cab609','David A. Mellis','2012-04-08','False'
'Arduino','c03ea000a29b067babe3583f77a70090e48fa1bb','David A. Mellis','2012-04-08','False'
'Arduino','f89bf2e523af0f5436aec0094ade061a3af3e917','David Cuartielles','2012-04-08','False'
'Arduino','12aed647bc711bd607c6f7256e8d67ed44b62335','Zach Eveland','2012-04-07','True'
'Arduino','fbc5d30ad7860f3f3a09dd74ba39a8c432ab0bb6','Zach Eveland','2012-04-07','False'
'Arduino','c3535a0d8e9de13d82266f89d33bd1b9daff103c','David Cuartielles','2012-04-08','False'
'Arduino','ad1d5ca89d0e166d57b249333c9077650b63f0d4','David Cuartielles','2012-04-04','False'
'Arduino','f66b83dd35836d1b20dec8913b30e19f06836d1a','Zach Eveland','2012-04-03','False'
'Arduino','e9a00eb38f3988a1fe28206bdfca618384bbda0f','Zach Eveland','2012-04-01','False'
'Arduino','232c7808be264dce10e4fb3b959e4ecdf27d60b7','David A. Mellis','2012-03-31','True'
'Arduino','8e176b0084ec9f991b426d82ff05c5fd56bf6d00','Zach Eveland','2012-03-30','False'
'Arduino','e90cb3650df3c86bf550fc6f366b0205eb52b47b','Zach Eveland','2012-03-29','False'
'Arduino','61c5176681d059480affe1fafbdb65240bc29994','Zach Eveland','2012-03-29','False'
'Arduino','d3d94b157ed241543ce6ccb77c87fc7cdca9a487','Zach Eveland','2012-03-08','False'
