project,sha,author,commit_date,is_bug
'ActionBarPullToRefresh','9526685ab51b091bec8869bcb967f869ab8354c9','Chris Banes','2013-12-08','True'
'ActionBarPullToRefresh','8223248626b14fa57936773e82494d01ba8b0c74','Chris Banes','2013-12-07','False'
'ActionBarPullToRefresh','c90373d9c1afc575f2725f3092ac1450dd93c84c','Chris Banes','2013-12-06','False'
'ActionBarPullToRefresh','08d8ef6ac883a0354edc70424933e2c1786bb37b','Chris Banes','2013-12-06','False'
'ActionBarPullToRefresh','b90aac58edb849473bd45ed2a7a0f59bff45bcbf','Chris Banes','2013-12-05','True'
'ActionBarPullToRefresh','c57e83d9818a9789dccd148c400163a6755fdfd4','Chris Banes','2013-12-05','False'
'ActionBarPullToRefresh','8096639934adff1334255d00aa8b6050f6c1b2fd','Chris Banes','2013-12-05','False'
'ActionBarPullToRefresh','89bb7ad43537c7100403f01c3350527f4acee92d','Chris Banes','2013-12-05','True'
'ActionBarPullToRefresh','4fa20cd2431528567e9e695bfa2691c6f2905d04','Chris Banes','2013-12-05','False'
'ActionBarPullToRefresh','ce90f83b0f5ec02e88d38cadf88999b2242052e6','Chris Banes','2013-12-05','False'
'ActionBarPullToRefresh','27f2bb52d6918cb97607f16293a12e189009ff8d','Chris Banes','2013-12-05','False'
'ActionBarPullToRefresh','8df9d86eb4c2d5add2f3cf18838e715c9d96b6fd','Chris Banes','2013-12-04','False'
'ActionBarPullToRefresh','99f4fc9e38bb84ba7301d80da658fd4cca37757a','Chris Banes','2013-11-26','False'
'ActionBarPullToRefresh','adb954e56fe8075c2823f7ad4b5129bf81009818','Chris Banes','2013-11-18','False'
'ActionBarPullToRefresh','a541de1f465c6bf8cbb8128fe27c8a0ffe8509ce','Chris Banes','2013-11-18','False'
'ActionBarPullToRefresh','e5884365cd5378b117578e5a06aa9b9884cd3997','Chris Banes','2013-11-16','True'
'ActionBarPullToRefresh','cbee17a027c14e6f22c33cfaca28173bb4a51c6b','Chris Banes','2013-11-16','True'
'ActionBarPullToRefresh','ee8fa3566601dfd620853c16a68dae58e9da8901','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','00c96f1e40b89b2aba93a95ff23446060a79b60d','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','e3434c6af352469fd6d86e0702668d1bf91ff81d','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','3c7a5f7fe65af9d5267683866067489cc9c89ca4','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','6682cc098a3b368c1588efaec4cfaa834d3458b8','oRRs','2013-11-16','False'
'ActionBarPullToRefresh','a9420d22860f01363e41703ebdc1adea093aaff8','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','f676740610f6d0aaf5d191e012264256c6eeccd1','Chris Banes','2013-11-16','True'
'ActionBarPullToRefresh','b075625f316a6e6feb555b068e0a868d5ab5a2db','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','ce16a4ab4040351595633087d273f1147c2b105a','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','e3c5b502da016e3c014d5285d081db8bb6874294','Chris Banes','2013-11-16','False'
'ActionBarPullToRefresh','fbbbeda16d997e71eacb1fdc5e874b43667483c4','Chris Banes','2013-11-14','False'
'ActionBarPullToRefresh','ef35b6910f9f1f8e8d2d3e97f416b08c13569ac7','Chris Banes','2013-11-14','False'
'ActionBarPullToRefresh','dec78f7fca89a8e6b935ef522a6d00f462f139c7','Chris Banes','2013-11-14','False'
'ActionBarPullToRefresh','6ad041613452b1df93eb9f7398af0b2a63ca46b4','Chris Banes','2013-11-13','True'
'ActionBarPullToRefresh','eb0691bca6ab350b1abcec40acff623e32ff8e8a','Chris Banes','2013-11-13','False'
'ActionBarPullToRefresh','abba035d79873eace7f5ca94330f1340134caaf0','Chris Banes','2013-11-13','False'
'ActionBarPullToRefresh','c756e355435f70eb014c9ab691d2b17ced758d79','Chris Banes','2013-11-13','True'
'ActionBarPullToRefresh','86e639c67027d0c9ab89467fc040f5a680fd5a53','Chris Banes','2013-11-12','False'
'ActionBarPullToRefresh','54626f28777ee9d8d0ccb6ca352e2b3cd1b7003f','Chris Banes','2013-11-12','False'
'ActionBarPullToRefresh','39f2191fe1098eb4bceec6c8b83c77cc7b6880ec','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','86d8b22ae3fc2764232616f49c769ff769215d26','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','e0653de6c71e68e61ca192a8425142db29a97f75','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','b0c3540a0d1c59f56c62b5a4958303398fabec7a','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','eb21feec377de255c2726e07f9561f055b6b0de7','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','f198ab58f23d4ce2be77fb8a7139d1bce6a742a6','Chris Banes','2013-11-11','False'
'ActionBarPullToRefresh','e31047ad808448ab341c98a007253a425fcf7999','Chris Banes','2013-11-09','False'
'ActionBarPullToRefresh','f89f7c32f359fd7bb5afac8d3fcc930139a8447e','Chris Banes','2013-11-09','False'
'ActionBarPullToRefresh','f6d81dac1372fc36703b1902a9fd80b85ab9bd4a','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','fde0f38fee4ab12edd2bb413acf9062681cd90eb','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','06127e8557bf73898afa127c53496ae7b8224488','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','d8ffb23a1b12a02c7c8f1cb124addefcdf379865','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','ed9de91db9f33ba2169a3354ba45278e04fe04c3','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','53a779234bdcbcde22bc53be308f4f3883b8a867','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','84c285f1bc50a7e7fa538755ebe46bd2de2668a8','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','96a7cbb6a36deaf0a75ec0d75d9db82086438923','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','be29ba3d17494de3a7495279794a9974605da90d','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','dbfb4bd1cd62b743ac7d355aa543e0ea7d43eafd','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','4d4825c6399c0abdc8ce9d7e2d13a1bcbbc5fede','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','42593cc1fc92d079683b6174eeee69e4eb912f63','Chris Banes','2013-11-03','True'
'ActionBarPullToRefresh','34b3d39552f334d3dba0438846be65456a47825d','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','138554a2fcd18f9ffe8536c46f43fc1818133371','Chris Banes','2013-11-03','False'
'ActionBarPullToRefresh','13297b2b1f608befb0d7c012afa681288a1eeca6','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','ca3e495e08574094292ac1129389dfdc39f70dc2','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','6b23668d1481a42366008a728da266311cdd9419','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','fcbbd68ba7ce9bbaf4bc0da4f030b4fcef13747b','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','5f7d5859abd38f57a334863ced2bacb6a85330a5','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','cb42a26b7fac5b1f06de497b66d5159942069f4a','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','fc3416332375f6422f179fd0ee8f98ce76aa876e','Chris Banes','2013-11-02','True'
'ActionBarPullToRefresh','0319a6f323268e816c3a652f1b59ce8f3c9f6b59','Chris Banes','2013-11-02','False'
'ActionBarPullToRefresh','56b6c86471eb5c55cb99c72a4882385338b3001b','Chris Banes','2013-10-27','False'
'ActionBarPullToRefresh','e14c22d9e5357c80f4eaa158aca5cd12885c3b99','Chris Banes','2013-10-27','False'
'ActionBarPullToRefresh','8b04dfbb246efdf6c66bd595a88a8ec342ce3685','Chris Banes','2013-10-27','False'
'ActionBarPullToRefresh','62a32f38d074e204f9768931fcc3c1592a1b7929','Chris Banes','2013-10-27','False'
'ActionBarPullToRefresh','753bba8db55aa9c11ef7766ea92fd71e8469ba91','Chris Banes','2013-10-27','False'
'ActionBarPullToRefresh','5dcab1275a94580ae33b4e7129f4a7c46ef5ffb4','Chris Banes','2013-10-27','True'
'ActionBarPullToRefresh','adde3795122147c0a4bb1ca2738ad7e86244c79d','Chris Banes','2013-10-26','True'
'ActionBarPullToRefresh','57fffe0bf12edfa256ea51c6bf8ea7f6b49d08ad','Chris Banes','2013-10-25','True'
'ActionBarPullToRefresh','2789de224b8a6002a2b03ed863fccd3817e47a6e','Chris Banes','2013-10-25','False'
'ActionBarPullToRefresh','2d666065ce3259eb06561cd7c1fa789110b3ec92','Chris Banes','2013-10-25','False'
'ActionBarPullToRefresh','836b9bb3d980ce28cc82cb442c22574569fc70dd','Chris Banes','2013-10-25','True'
'ActionBarPullToRefresh','0dbf8adaeac7397005c1959df44d95ff8e1625c6','Chris Banes','2013-10-25','False'
'ActionBarPullToRefresh','316295f8b74a28c20e9217c67cbc715c940cc2ce','Chris Banes','2013-10-23','True'
'ActionBarPullToRefresh','f7682831b16549b7d456913071c5fa6e6289ed1f','Chris Banes','2013-10-22','False'
'ActionBarPullToRefresh','a765ee1b3ee696dcf858189c969310a3b1025346','Chris Banes','2013-10-22','False'
'ActionBarPullToRefresh','0749955ff56d66ef113eebe9e303591e748e00ae','Chris Banes','2013-10-22','True'
'ActionBarPullToRefresh','798510e8b0f9e2d8efd35c63a51a4863a27415c5','Chris Banes','2013-10-22','False'
'ActionBarPullToRefresh','0fcc36b491179ed89b1bb64b3f4ff987ce619fa2','Chris Banes','2013-10-20','False'
'ActionBarPullToRefresh','9df29784703be4fecf4ef9d876886a77f2df0f49','Chris Banes','2013-10-20','False'
'ActionBarPullToRefresh','ffc9b5a21fd1e9f39325ca1dacf3cb616a2b66ff','Chris Banes','2013-10-20','True'
'ActionBarPullToRefresh','65d9671e1b9c2f9dc290bef585a81a73486199c5','Chris Banes','2013-10-12','False'
'ActionBarPullToRefresh','77f62fca5ded040f5a25842a1e3ade878976eebb','Chris Banes','2013-10-04','True'
'ActionBarPullToRefresh','bc512ab0f82424ab23d9dc17bc6d3d1d3795bea4','Chris Banes','2013-09-21','False'
'ActionBarPullToRefresh','11bd96053285dc17acce6bdfdb8c657a0d5bd721','Chris Banes','2013-09-21','False'
'ActionBarPullToRefresh','96143007a2b728752e06e356ddb79803b91f3890','Chris Banes','2013-09-20','False'
'ActionBarPullToRefresh','ebfa47d7bf6d7ee0fd4ee93ab4650ec56ccdbdd6','Chris Banes','2013-09-20','False'
'ActionBarPullToRefresh','31c89c97bf53881cc2a9f7232557ca30f20d0574','Chris Banes','2013-09-20','False'
'ActionBarPullToRefresh','f4347ec185b383605a3327fd3baf15abb4050616','Chris Banes','2013-09-20','False'
'ActionBarPullToRefresh','f963effc83653ddeb31ef2b9dfe9d53874261411','Chris Banes','2013-09-19','False'
'ActionBarPullToRefresh','9043573da747ccfd3feff01daa10d375ac4470c6','Chris Banes','2013-09-19','True'
'ActionBarPullToRefresh','52b605ea845b1bf7d67099b9b0e50baa25ef55a9','Chris Banes','2013-09-18','True'
'ActionBarPullToRefresh','2a5bcd269aa079780125f0359d1d1f32bef569fc','Chris Banes','2013-09-18','True'
'ActionBarPullToRefresh','413bc760573e14011b0236615f8c4e1b59f4c46b','Chris Banes','2013-09-18','False'
'ActionBarPullToRefresh','f3ed30f1b2bc502864900d029ed8ea53662f5abf','Chris Banes','2013-09-18','True'
'ActionBarPullToRefresh','33a5ec488e224dabd2eb99a96998ba30ec96bea4','Chris Banes','2013-09-13','False'
'ActionBarPullToRefresh','27de45879283522907d8f0bd82f3dcd7065d996b','Chris Banes','2013-09-11','False'
'ActionBarPullToRefresh','ce95825f35bba9a1fc10e4c34f0c05e47fce5d73','Chris Banes','2013-09-11','False'
'ActionBarPullToRefresh','f0fc5d2ec608a3ab1178ed2e61b14000fd59de40','Chris Banes','2013-09-11','False'
'ActionBarPullToRefresh','52b1022e7e64c62ca78193ee565df72b4256423a','Chris Banes','2013-09-11','False'
