project,sha,author,commit_date,is_bug
'CraftBukkit','15b04d84b6661e2aa4f891d60e3e13865b776e90','Wesley Wolfe','2014-01-19','False'
'CraftBukkit','4a588b74ce65a7a4a0dff91f7ec9a72ea79ba461','t00thpick1','2014-01-07','True'
'CraftBukkit','7700c5cb26bd408f4366d9c6c09952d520350ec9','t00thpick1','2014-01-07','True'
'CraftBukkit','b33d67f1f914f48dee03a9c9dd328f6a13cb0b3d','t00thpick1','2014-01-05','True'
'CraftBukkit','d51ccd1b8b374552ef8675326589d90a7ed88581','t00thpick1','2014-01-16','False'
'CraftBukkit','80e069d9d556e59771f6a7d0fb6050dcf6c86f06','t00thpick1','2014-01-14','True'
'CraftBukkit','169af45bbec1a3b84f1ca8b3a944f4b1f429a68e','Wesley Wolfe','2014-01-14','False'
'CraftBukkit','b05febf7583fc9ea7b198e23d43b7fb33df359d7','t00thpick1','2014-01-07','False'
'CraftBukkit','40526e46f8424525f872693695da9409031abbce','Wesley Wolfe','2014-01-14','True'
'CraftBukkit','f154e71a33ef31509adf7ce8b143cc3d0b0becdb','Wesley Wolfe','2014-01-14','False'
'CraftBukkit','530fcb7da280e660fcbd09b116fa71368c258f42','Travis Watkins','2013-12-24','True'
'CraftBukkit','f94b7af884d132546bd03b872aeb7be7b8847525','Travis Watkins','2013-12-20','True'
'CraftBukkit','15db099e224e3c13ca63764e80ec4d599336c05f','t00thpick1','2013-12-20','True'
'CraftBukkit','daba1728f19029e58e0e39e1eab4dd31654a75ef','t00thpick1','2013-12-20','True'
'CraftBukkit','8db9499f9a08acf1ff69a892f263a7c5ced9617a','t00thpick1','2013-12-20','False'
'CraftBukkit','18cf8e0b3cc91a95a307132acf0907d766fe8117','t00thpick1','2013-12-19','False'
'CraftBukkit','670a461e1fa3ebf83fcc7e8dee6283bc76819213','EvilSeph','2013-12-20','True'
'CraftBukkit','f24d9678d1670dee403804fd26f15ec1c0b872aa','EvilSeph','2013-12-20','True'
'CraftBukkit','795ee0c9a7a3a889d24df81c1e84d20a239c4864','t00thpick1','2013-12-17','True'
'CraftBukkit','f208dd94a6dc56db33b84d61073ffdb40feffb53','Nate Mortensen','2013-12-17','True'
'CraftBukkit','74a2979fd74aafee1da894dfdf1f1ab8f9782dbc','mbax','2013-12-09','False'
'CraftBukkit','2d00e467b3a06b5c29ff88cbd1317488ee8eb3ce','Travis Watkins','2013-12-17','True'
'CraftBukkit','50098bba0b8a524d046c14ab76dd48ec6e0048b5','EvilSeph','2013-12-17','True'
'CraftBukkit','8a1df524bd1156df5eda9c774dde7ffd688474a3','frymaster','2013-12-17','True'
'CraftBukkit','63eac8f002e34becaa3cb5a76261f7e6b62984bc','t00thpick1','2013-12-16','True'
'CraftBukkit','7fb89899afadd2905d3224c837bc8faaf986b537','BlackHole','2013-12-14','False'
'CraftBukkit','94863efd6b729b6666d52d1ed8ddf2f084adc000','BlackHole','2013-12-14','True'
'CraftBukkit','e776b1459d44293eeb5c99e8c92c2447fc0a4b7b','GJ','2013-12-06','True'
'CraftBukkit','402ee8739b0565ed2ad6620d638f9bca695ee9ad','Travis Watkins','2013-12-14','True'
'CraftBukkit','5a2dda293f5b025a0165a67f58b92cba11b4b904','t00thpick1','2013-12-12','True'
'CraftBukkit','1718a1aca7592647927c6f5c98ee4096430e1366','GJ','2013-12-11','True'
'CraftBukkit','38476d2b02ecb91826f9b35c378a402b6bfdce90','GJ','2013-12-13','True'
'CraftBukkit','9afdb6b57accc46caefc163b4cb1d9e580baef72','t00thpick1','2013-12-11','True'
'CraftBukkit','6588d6f72bbca74bf150de65593ac575b846111b','t00thpick1','2013-12-09','True'
'CraftBukkit','e1e5a05229b87bd3b3790e14a9bee821528d3afb','t00thpick1','2013-12-09','True'
'CraftBukkit','03b75c065dd7f5b0d8b11b7a54b1373dd996aa10','t00thpick1','2013-12-10','True'
'CraftBukkit','49a0b2775207c130e851420bb2a66ac18ab03e35','t00thpick1','2013-12-13','True'
'CraftBukkit','2c5fd3133dfcafb4fb74fa23e8f320672778e8b5','t00thpick1','2013-12-13','True'
