project,sha,author,commit_date,is_bug
'GreenDroid','85295d68bdf45a66f9b501db63c5144c8fd2a92c','Cyril Mottier','2011-09-26','False'
'GreenDroid','01098d85853aa381dc7a74434a8d179cf40e3812','Cyril Mottier','2011-09-20','False'
'GreenDroid','d7722cff9244a08cf858f35eeec6c5f458492c5b','Cyril Mottier','2011-09-20','False'
'GreenDroid','f5b0fd3aa93001e3028408493d930c07bd039821','Cyril Mottier','2011-09-20','False'
'GreenDroid','b32df3b55aeff6caf2b5c0b76a0a6df68fad093a','Cyril Mottier','2011-09-01','False'
'GreenDroid','d587a443efc4613c49c93407b69ba8155920e0ab','Cyril Mottier','2011-09-01','False'
'GreenDroid','1d0b80a25c30ba9da676e915b34236def962a12f','Cyril Mottier','2011-09-01','False'
'GreenDroid','79b5735a51a77e7f07479a21ad5ebaba375fcfcb','Pete Deffendol','2011-08-29','False'
'GreenDroid','269bcce750269081be2937abf9e43bb85747e55c','Cyril Mottier','2011-06-23','False'
'GreenDroid','2688f5bec8f48fc906f82237ed7c7e70578edd2d','Cyril Mottier','2011-06-23','False'
'GreenDroid','668116f8f38d46270b7f11a489fde4775014a46a','Cyril Mottier','2011-06-23','False'
'GreenDroid','8a2bc3ed3ba2a784668f088aa0ff23014a10339e','Cyril Mottier','2011-06-23','False'
'GreenDroid','9b18d8e4b55bc5b23159fb1f76d5d6f0a415e177','Cyril Mottier','2011-06-23','False'
'GreenDroid','5c5882993dda2c62cdd2b8e9b3a43a2b445af5cd','Joachim Schuster','2011-05-19','True'
'GreenDroid','e3dc5fd72dab53ac02bb9041838ab9d992230e3f','Cyril Mottier','2011-04-01','False'
'GreenDroid','1fbbe494140c69402baef9356ff1c220234753cc','Cyril Mottier','2011-03-31','False'
'GreenDroid','b64b0b5205609baf0364f04098ec4195cefa4356','Cyril Mottier','2011-06-02','False'
'GreenDroid','3db4794ae91b37a1094685f445270c96c9061f4f','Cyril Mottier','2011-06-01','False'
'GreenDroid','6a4edf0843baecf167f4df54270bdc87351fb698','Cyril Mottier','2011-04-16','False'
'GreenDroid','e14e80d55e619876c6c0cfa700737a4e6ce24915','Cyril Mottier','2011-05-08','False'
'GreenDroid','02582798e6e9ef575b58600acfc9ed68b794dbd5','Cyril Mottier','2011-04-16','False'
'GreenDroid','b381d3e1caaaf880ae8ce07e678c22a2d3d0bf9e','Cyril Mottier','2011-05-07','False'
'GreenDroid','c65fcf9a5c63a0e65884f5b610ac5c1020f671c5','Cyril Mottier','2011-05-08','False'
'GreenDroid','466045f5d4c1dbecf336ce61b4b9926629bb2b7e','LeSuisse','2011-04-24','False'
'GreenDroid','640c33dd8d8a1abb2db4069cc36891e825ea167c','Cyril Mottier','2011-03-31','False'
'GreenDroid','2c7248e049c822c5f37d9e0901ab3dcdcd000b71','Cyril Mottier','2011-03-28','True'
'GreenDroid','95e5998b40163cff6371e39db3d85748c0aa105e','Cyril Mottier','2011-03-27','False'
'GreenDroid','a3611a5eded87df8157d1c5de3cf640b3525f7b2','Cyril Mottier','2011-03-27','False'
'GreenDroid','3a6e3eefcbd24d51d985c6685f8d94992d70129c','Macarse','2011-03-26','True'
'GreenDroid','180145d35bad26d74dc4da7ceb0967f780476673','Cyril Mottier','2011-03-22','False'
'GreenDroid','d6ef60d47642aee591647518810f0ea4f334419d','Cyril Mottier','2011-03-01','True'
'GreenDroid','dc65a9ab2694ecf157afb4218846b1d75f1a33ec','Cyril Mottier','2010-12-02','False'
'GreenDroid','62609b89a3405f7dc8b2f09cc6b3dda21db625cf','Macarse','2010-12-11','False'
'GreenDroid','d1d30be407855653e4849248a0473c8a4b8aa22b','Cyril Mottier','2010-10-11','False'
'GreenDroid','f209752f1fa01cc314c2bb5b354360754c6317e5','Cyril Mottier','2010-09-05','False'
'GreenDroid','65c50a20e6c1a8dde9271e2c49b1b4f54d0b4008','Cyril Mottier','2010-07-21','False'
'GreenDroid','dc9508f9e21ae855fdac69571d7df5512c557bfa','Cyril Mottier','2010-07-14','False'
'GreenDroid','65d147b82bc69bde01fe7195a28b72ef63a1e180','Cyril Mottier','2010-07-04','False'
'GreenDroid','8b37ea2d17c805d0e6f9daf0783bd77d3d269077','Cyril Mottier','2010-07-04','False'
