project,sha,author,commit_date,is_bug
'Hysterix','7e9cafd80c0fdf899ac1622b4a364fba39d52505','Neeraj Joshi','2013-11-01','False'
'Hysterix','d37d8c52634198078013c85e578e0842c7847aea','Ben Christensen','2013-10-01','False'
'Hysterix','35fb8ce1455139d1213290cadfadda017c145018','Ben Christensen','2013-10-01','True'
'Hysterix','770d6a74c6a83e83dfbb5a87364d36eac7858c6a','Ben Christensen','2013-10-01','False'
'Hysterix','5b900da0604059f8ec3f01081a89b7343e7e89ee','Ben Christensen','2013-09-26','False'
'Hysterix','91bfc60371048ba04bd6316bbb84e52986e883e7','Ben Christensen','2013-09-26','False'
'Hysterix','e6403c4473e4e9ba3a1bace1a7a786a67a2f5e5d','Matt Jacobs','2013-09-26','False'
'Hysterix','00f6c0e08b039dad59a7b5d7f334e6f37d9e7201','Dave Ray','2013-09-08','False'
'Hysterix','8e0a43c3b1cff012dd4096443d1260242c5be646','Ben Christensen','2013-08-20','True'
'Hysterix','3cc9642901af11bbaaf03c2dcaa43080e5f4788d','Ben Christensen','2013-08-02','False'
'Hysterix','8678bcfdaf6efc9a40f80b89e80b6edb3e664278','Ben Christensen','2013-08-02','False'
'Hysterix','0582bb6e0476d355631a6077eac82a777c71d6c9','Ben Christensen','2013-08-01','True'
'Hysterix','71985abbfadaaa4b4f6c853c9bed8376a0c12e4e','Ben Christensen','2013-08-01','False'
'Hysterix','940377f868ba44efbbe9b5951c6543a7c17a83a9','Ben Christensen','2013-08-01','False'
'Hysterix','819ded6a8356b8f7409838e29a4b43ec89e759a7','Ben Christensen','2013-07-30','True'
'Hysterix','2ae4493350ed98888b5fb1b548b38ca1ec2d1534','Ben Christensen','2013-07-26','False'
'Hysterix','45a6420b944b2a7d6d6cdc7a38b516630a07e8d1','Ben Christensen','2013-07-24','False'
'Hysterix','d244689d91b1e07c9ad4d6047a0dd9d614257a49','Ben Christensen','2013-07-24','False'
'Hysterix','da69311c77287f3d789883dc743fbf54dc9ccba4','Ben Christensen','2013-07-24','False'
'Hysterix','490c10e8d40f0fae312b666a84c8e5071c252fba','Ben Christensen','2013-07-24','False'
'Hysterix','5c6599e1c24d23389a879baf8b59dae9017794e0','Ben Christensen','2013-07-23','True'
'Hysterix','7b103b83e9eebb5f5dfef9b86ab2abd43a6ec822','Ben Christensen','2013-07-23','True'
'Hysterix','a1732c2f2a09af05c4368bcc76dc59514b708444','Ben Christensen','2013-07-23','True'
'Hysterix','2cb2d9d361f0efb6c84736673c1ab18ed5e7c70f','Ben Christensen','2013-07-05','True'
'Hysterix','34c3e5c4d812b3335b613f1235c73af45fcf6e45','Ben Christensen','2013-07-05','True'
'Hysterix','05cb2293da810c90718b88f74b7bb39dbe7a5e07','Ben Christensen','2013-07-03','False'
'Hysterix','32bd26e54fa49ee875259e2baefa1726db7beeb7','Ben Christensen','2013-07-03','False'
'Hysterix','dccd32223000b44980772d8f8ba037f4e78c877d','Ben Christensen','2013-07-03','False'
'Hysterix','e8f1e1692a0140410a69fe5699ade5cf050eefca','Ben Christensen','2013-06-28','True'
'Hysterix','a300d93ac0081fc22515b28e68edbbeb08e2ff46','Benjamin Fagin','2013-06-11','False'
'Hysterix','52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b','Neeraj Joshi','2013-06-11','True'
