project,sha,author,commit_date,is_bug
'NineOldAndroids','c846792a3a76264c4bc320f1bd1fea836996fae0','Jake Wharton','2012-06-24','False'
'NineOldAndroids','da9dd5ca0c487b5e81290ed6052a36b74d70768e','Jake Wharton','2012-06-24','False'
'NineOldAndroids','cfcee0bee888102ace06db1f326d8c0dc5d39b8c','Jake Wharton','2012-06-24','False'
'NineOldAndroids','c9f3ff9c3d4f3608edc186506e55fb63e49b81fb','Jake Wharton','2012-06-24','False'
'NineOldAndroids','3cb6d1d33a2cddd4dcc785e6c651eee91d16a633','Jake Wharton','2012-05-27','False'
'NineOldAndroids','9616177c3fca68d6893f643fa5fc3b5a831b2b3b','Simon Therkildsen','2012-04-25','False'
'NineOldAndroids','4cb22cf367c3bf22cafd8be007713cce933a41ea','Jake Wharton','2012-04-25','True'
'NineOldAndroids','24ddc015abbbb96cadb5fff5e63b69cfb42c8103','Jake Wharton','2012-04-25','False'
'NineOldAndroids','b5b556d921e8b539596570c6e468259798ac8bfc','Jake Wharton','2012-04-24','False'
'NineOldAndroids','50a603446832ba543a88d64a8abf8d1f2e93923a','Simon Vig Therkildsen','2012-04-21','False'
'NineOldAndroids','3d46b36b001130b80769714ad3c2856db14603d2','jpmcosta','2012-04-15','True'
'NineOldAndroids','51b270cd6cfb1eb18cf71a2ab53abb21175b9ce9','Beowulf Bjornson','2012-03-25','False'
'NineOldAndroids','b588b2d6cecc988f219c1e347ac1710a01ade58b','Beowulf Bjornson','2012-03-25','True'
'NineOldAndroids','d11e804ed427057b4ac91ce404920b6bc4a6907f','jfmichel','2012-03-09','False'
'NineOldAndroids','970493d25d5e6ad4fcd338bda3b3869d13058d57','Jake Wharton','2012-02-23','False'
'NineOldAndroids','e4b16ba34243cf1434ae1b326bfdb3524667de86','Jake Wharton','2012-02-09','False'
'NineOldAndroids','53a285d69831deee41017dfdb5df603036182b72','Florent Pillet','2012-02-09','False'
'NineOldAndroids','a8615334a4f84d97c25c6ffada6f388aee13581d','Florent Pillet','2012-02-06','False'
'NineOldAndroids','f4c34b9d98feb39155c94f440db7affd96cd8393','Florent Pillet','2012-02-06','False'
'NineOldAndroids','5e4bd548ddec694c9764e29ad0118f5fd8d0ecd0','Florent Pillet','2012-02-06','True'
'NineOldAndroids','bf0b945de62342d4e30986d30c5f317930878fc6','Jake Wharton','2012-01-30','False'
'NineOldAndroids','e0de3dfa48dc54a5b5f635d2d26f49c3fe838e3a','Jake Wharton','2012-01-29','False'
'NineOldAndroids','fd051dc6afbb01ee5fe430ecacf83e75eaba2ade','Jake Wharton','2012-01-27','True'
'NineOldAndroids','d8942b37835b5ec6d9f283c2d76a403a5c2625a1','Jake Wharton','2012-01-19','False'
'NineOldAndroids','b57f3955629c8d82fbcdc34dcb9068b344526d43','Jake Wharton','2012-01-19','False'
'NineOldAndroids','1dfe12b11812c42b2bfc6c067866fc3bcb089151','Jake Wharton','2012-01-19','False'
'NineOldAndroids','44bde9dbb1e084c8b9cac31b2eeedb1ef3897351','Jake Wharton','2012-01-19','False'
'NineOldAndroids','d34f85a63687e6ff3939fbba6302facf720bfab0','Jake Wharton','2012-01-19','False'
'NineOldAndroids','78406fc0b6cd3ee00daa8ffaa16c7e83541c1a0e','Jake Wharton','2012-01-19','False'
'NineOldAndroids','2e3722fbc81d3bf0ae1f9b780639d2c66417450b','Jake Wharton','2012-01-19','False'
'NineOldAndroids','4b8232218beb00c3ec419e99e0262d72499984fd','Jake Wharton','2012-01-18','True'
'NineOldAndroids','77a84b4448030b45f87ac9ebca99bfc0222d53fe','Jake Wharton','2012-01-18','False'
'NineOldAndroids','e5981c8b8be969107edf18f351c7986d160b7ddf','Jake Wharton','2012-01-18','False'
'NineOldAndroids','531607fa52ccf0c1686d2c0c158905b2c386e92f','Jake Wharton','2012-01-18','False'
'NineOldAndroids','b0e439213656da84a20839a4b8746857eb3b5371','Jake Wharton','2012-01-18','True'
'NineOldAndroids','c2d1ab186462daaf9d85e686993b72c6fc5591eb','Jake Wharton','2012-01-18','False'
'NineOldAndroids','4ba7569dd281509f72e3b5ce01a0485e60e8f4d2','Jake Wharton','2012-01-18','False'
'NineOldAndroids','6b5a2881eaa522c04c9d41c5ed702fff66f0e5dd','Jake Wharton','2012-01-17','False'
'NineOldAndroids','986e7b495aa43ee958a8ea1e53601b17015cf009','Jake Wharton','2012-01-09','False'
'NineOldAndroids','5475e45278b1fc3cf03bb4cff5967c218288319c','Jake Wharton','2012-01-06','False'
'NineOldAndroids','6cccb1b9aee9db4689c4ef132ce66cc49bed990e','Jake Wharton','2012-01-06','False'
'NineOldAndroids','62c770a115a9ff9e0d030b9d337257667da773d8','Jake Wharton','2011-12-16','False'
'NineOldAndroids','f01be4f5d83801cddbd58c97d08c0c643fa030be','Jake Wharton','2011-12-13','False'
'NineOldAndroids','759523bb1e74061f3cd068c6dcd6763c43fac2c8','Jake Wharton','2011-12-13','False'
'NineOldAndroids','b6f1030bf12fd9e72941ec4e892e102e70b72fd8','Jake Wharton','2011-12-12','True'
'NineOldAndroids','34f275fe7c09215f9ef9be8757450dee62b0b010','Jake Wharton','2011-12-12','False'
'NineOldAndroids','972dca35eb4649be58a08c6d222635694e1c2a5a','Jake Wharton','2011-12-12','False'
