project,sha,author,commit_date,is_bug
'SlidingMenu','d929476bee721e295f7e73d7395e29ca090c122b','Jeremy Feinstein','2013-12-09','True'
'SlidingMenu','b38aca508775323a042ea25044853fd2fce61628','Constantine Antonakos','2013-08-28','False'
'SlidingMenu','eefb9ed8dbf6b030ea788366051166f0b6482a4f','None','2013-07-19','True'
'SlidingMenu','9402c1ac96200c2602253f9dfe6b390bda1aeab8','None','2013-07-19','False'
'SlidingMenu','56576af37d73e3e4bee14f3a5f33a8cb5b184f96','Donn Felker','2013-05-06','True'
'SlidingMenu','6989cdbfb08f50be6dace745038c40fa812465e4','Donn Felker','2013-05-06','False'
'SlidingMenu','1c1d8df60f47081b60e7f678c3b28f5f862fd76d','Yan Cheng CHEOK','2013-03-20','False'
'SlidingMenu','fb5042846be80f06d3b2b36e54e49c9825a53c26','liruqi','2013-03-19','False'
'SlidingMenu','b8823b84561af1682dd9a27bdc4d324274becf1c','liruqi','2013-03-01','False'
'SlidingMenu','59dd35698943f61336e293964328965a55ae10e8','Jeremy Feinstein','2013-02-11','True'
'SlidingMenu','3f09d419e2f0eb7a60c2940c4dd5d186323fce01','jfeinstein10','2013-02-05','True'
'SlidingMenu','29547a01da81abfad68cd9519164153bef10f401','jfeinstein10','2013-02-05','True'
'SlidingMenu','24893d0f1752153a047f2b7f2b115f29a10aafbb','jfeinstein10','2013-01-16','True'
'SlidingMenu','35aefcf4b76f728f79ed72803ad2579d41dbfc7a','jfeinstein10','2013-01-15','False'
'SlidingMenu','32a8ac714b192b6c31876d191ed17c3fccc69c64','jfeinstein10','2013-01-15','True'
'SlidingMenu','fa64e7aa52f1be9d2e9e051396f90197f4da7639','jfeinstein10','2013-01-09','False'
'SlidingMenu','4a53fb12a78da23e67e9e09fddcf6c06673c809f','jfeinstein10','2013-01-03','True'
'SlidingMenu','10f123b1c1375ab0760f1bfb557d855243ecfbc9','jfeinstein10','2013-01-03','False'
'SlidingMenu','6ca0c5e1e5067a29aa64408bb2d6d62fe0a726bb','jfeinstein10','2013-01-02','False'
'SlidingMenu','9b7d10a2ff132f6f367d1a90251b67af6a5b5918','jfeinstein10','2012-12-19','True'
'SlidingMenu','193c6cd66aefaf6cd0aced77f41e73c3c39672f2','Arne Stockmans','2012-12-19','False'
'SlidingMenu','2b13be5070711bedbbb348cbbdd7bdb5098c6ead','jfeinstein10','2012-12-18','True'
'SlidingMenu','caa723c3ad7a43c3c0689adf432b5948c6d15e18','Antonin Fouques','2012-12-11','False'
'SlidingMenu','29dbf9e2d81e08af8d3afab3edd1f5ce1aaebeec','Antonin Fouques','2012-12-11','False'
'SlidingMenu','855424dec3f2249e6e59552b5b65ad3f3febf527','Antonin Fouques','2012-12-11','False'
'SlidingMenu','442e94418c9c9dc2a24744094a755c6318a20837','RockoDev','2012-12-06','False'
'SlidingMenu','5921d48e85c1c9ec9abb04629d3baa9ff76b6cca','Matt Gaunt','2012-12-06','False'
'SlidingMenu','8694f9dedd0aa1d1965ee82e539d13a1d8bcde9c','Matt Gaunt','2012-12-06','True'
'SlidingMenu','017774c50930af1e0cf610ae90b44f4c4677818a','jfeinstein10','2012-12-05','False'
'SlidingMenu','cdef60e5f2663d4e14bce92221ddb866154114b8','jfeinstein10','2012-12-04','False'
'SlidingMenu','eba555adef69ba0b5175f919167d3c021d9804a5','jfeinstein10','2012-12-03','True'
'SlidingMenu','85eb954c63ed2bb4573f30c3f9122b31b463c08b','jfeinstein10','2012-12-03','True'
'SlidingMenu','91061a9e62878fe4067a28f993a4a8aaa74e2a2c','jfeinstein10','2012-12-02','True'
'SlidingMenu','ee258314336c36ca9a935ad42effe4457a321585','jfeinstein10','2012-12-01','False'
'SlidingMenu','637dee589d86fe4ad342fec3c5b823563859203d','jfeinstein10','2012-11-28','False'
'SlidingMenu','477ac8aeaec451e6e3412fb0714639ea564cbb72','jfeinstein10','2012-11-28','False'
'SlidingMenu','eaff492797ae8bb1429acc5937d14e3cce75aae6','jfeinstein10','2012-11-28','False'
'SlidingMenu','6b1984f01ba74c709ce87a32abed69848dd6fded','jfeinstein10','2012-11-28','False'
'SlidingMenu','f01912fabcca6217a7fefc239d9c59c8b3933eb2','jfeinstein10','2012-11-28','False'
