project,sha,author,commit_date,is_bug
'androidAsync','8fcef282cdb694b4d0a5e5d95b61806f9dad3c23','Oriental Sensation','2014-01-04','False'
'androidAsync','339283ea7beef6db346379fe3470cfe46efd565b','Oriental Sensation','2014-01-04','False'
'androidAsync','26696b641e1d2a98f902e3440915acd0b0675a9c','Oriental Sensation','2014-01-02','False'
'androidAsync','26a41f06a37093b71ffd1fe934ccc1cdfd7edb61','Oriental Sensation','2014-01-02','False'
'androidAsync','9c836c611cacfccc6a03fc923cb07769de58aa72','mareksebera','2013-12-28','False'
'androidAsync','2bc4b727f655ddc89e803d750cd1af1074dc25a1','mareksebera','2013-12-28','False'
'androidAsync','bc6fd28a016e380c49e2a6a1d288dca96195877a','realxu','2013-12-28','True'
'androidAsync','9d68452cff5616107d1ebd24d8d94d40e89ec736','Shaleen Jain','2013-12-26','False'
'androidAsync','cd1855f2c4e204a7cffd65ea755a5eaa700ee3c6','mareksebera','2013-12-24','False'
'androidAsync','1292fef9711d969fa4d013ddd06b17192bdc0f66','mareksebera','2013-12-24','True'
'androidAsync','835b5f5ba1c42916b55405b36cd8805e32dddcc1','mareksebera','2013-12-24','True'
'androidAsync','71749b627c0f6fa692bb8e9999e11e5f79ace9b2','unknown','2013-12-17','False'
'androidAsync','a3eb0534cab8f12821d812efeff11f30760d0bb9','mareksebera','2013-12-14','False'
'androidAsync','71556bdaa55a7c6bc4eee026c862e6af7c891f4e','mareksebera','2013-12-14','False'
'androidAsync','4578068c28ae7162372a4bd4b60fc375e2db1178','mareksebera','2013-12-14','False'
'androidAsync','816578f806c69d3378ca91fbfd6c3b37ac382755','mareksebera','2013-12-14','False'
'androidAsync','1b720a51bfb98463ddb4147a649739447599f492','mareksebera','2013-11-24','False'
'androidAsync','2e0e8644590bd168c797b2b7e3861708c05a5b2f','mareksebera','2013-11-24','True'
'androidAsync','6d5e8ac1c518bfaa81d70f55cec7b1a979ffd1e3','unknown','2013-11-18','False'
'androidAsync','70ccbd656f531bf30ca223e6b91d42607fe413e9','Oriental Sensation','2013-11-16','False'
'androidAsync','300cab8c4f39c49a0e4c03829a8312cd66f8b4ea','mareksebera','2013-11-16','False'
'androidAsync','df9b891452c6bb59f0b40f41b80390133da3f14f','Oriental Sensation','2013-11-16','True'
'androidAsync','c53f350ad42809d0549c260f838d1fbe273c2609','mareksebera','2013-11-16','True'
'androidAsync','5c08a48eda20b564dd8a4bc631cf09b36648ea2e','Oriental Sensation','2013-11-16','True'
