project,sha,author,commit_date,is_bug
'androidBootstrap','1903b9c6571d1d4817f4295a9d23b1cd69d5d94e','theDazzler','2013-12-09','False'
'androidBootstrap','295eb23331876ee2da86cf76e88ddcba6f913e35','theDazzler','2013-12-09','False'
'androidBootstrap','2df813bb3ab6ee658a7df33d75a3a8ab7b258990','theDazzler','2013-12-09','False'
'androidBootstrap','dea443190713978f18429cdfea8fc446d54d2d27','Michal Kuklis','2013-12-07','True'
'androidBootstrap','c1e19437ca204e6aabc5c8ddf98f415dfeebb390','Michal Kuklis','2013-12-07','False'
'androidBootstrap','9067416920a2a9a000a77280010fdc580aaf06b1','Danielle Vass','2013-12-06','False'
'androidBootstrap','bad13ecad415bf65da5a6ceee8d3f442b4d4c011','Devon','2013-12-03','False'
'androidBootstrap','545eeb2796ef5580797f9b3edbbb0070b4d688eb','Devon','2013-12-02','False'
'androidBootstrap','e91a0f44a25bcbdf553c076f950ff32808f54ea9','Devon','2013-12-02','False'
'androidBootstrap','14bae150ba45d74d084e72a12af0a24199f6913a','Devon','2013-12-02','False'
'androidBootstrap','0b27b2ab29ea4ad5fbeb8766b8d364bced1e067b','Danielle Vass','2013-11-11','True'
'androidBootstrap','36fbd30858f39fbdf7aa6ec865ec6b61be1f9f4c','Danielle Vass','2013-11-08','False'
