project,sha,author,commit_date,is_bug
'androidPullToRefresh','ee10c53107a50574975c5b4fb619dcd3364a7a9c','Chris Banes','2013-01-27','True'
'androidPullToRefresh','5229b27288461ae65e11ec2e59db84160607ca36','Chris Banes','2013-01-27','True'
'androidPullToRefresh','60969e1934ab30a266b82f500e00148666d97d4f','Chris Banes','2013-01-27','True'
'androidPullToRefresh','684a6166bdb3c5fbb82b2e4089ef37e9861ec0a6','Chris Banes','2013-01-10','True'
'androidPullToRefresh','420b36aa1fb78946baea9e5d9183489486c11e61','Chris Banes','2013-01-08','True'
'androidPullToRefresh','8a71c60fe86bb561e47631983a9e8e100a823667','Christopher Banes','2013-01-08','True'
'androidPullToRefresh','424ed33721b44d9b6bcc482b87f1cd4606d33f3a','Chris Banes','2013-01-02','True'
'androidPullToRefresh','13c90770659cf2a40ec7cc6b466ab86c349d49f2','Chris Banes','2013-01-02','False'
'androidPullToRefresh','94fed7dfb1cb2c75636e3136429d87cce4b8e5cc','Chris Banes','2012-12-31','False'
'androidPullToRefresh','333464bed20eb21813d7fe2358936de5f28be8b2','Chris Banes','2012-12-29','True'
'androidPullToRefresh','a78c6cdaca04f3de371741dd7c80f44be0c614fb','Chris Banes','2012-12-29','True'
'androidPullToRefresh','e10106bfdbc5ac337b0d87c0622dca2ebf3e9b64','Chris Banes','2012-12-29','True'
'androidPullToRefresh','8b1aef22b9e147d4dfc54b212dd636d740cec1fe','Chris Banes','2012-12-29','True'
'androidPullToRefresh','c25adb08c373ea7f156f2f863b0b681210ffeafc','Chris Banes','2012-12-29','True'
'androidPullToRefresh','0ec847b3cad89d473c6e5b272244d7e9a1b382e7','Michael Basil','2012-12-26','True'
'androidPullToRefresh','1ff49a0b6e1973b633adb9eda5a09b90ea4367f8','Chris Banes','2012-12-21','False'
'androidPullToRefresh','342999881034ebd9fc2c113817b5ddfad7940461','Chris Banes','2012-12-21','False'
'androidPullToRefresh','df078d70058e9d56ca19092cd06f9695ad3550cc','Chris Banes','2012-12-21','False'
'androidPullToRefresh','dbaadb21a53fa07c4d248cb0eb5b50aa04df3d67','Chris Banes','2012-12-21','False'
'androidPullToRefresh','2aad9d54cbb53e64cec5e533917561dc9e69b72c','Chris Banes','2012-12-20','False'
'androidPullToRefresh','d5f8146874cce149d8af9e02701f995baa1afd04','Chris Banes','2012-12-20','False'
'androidPullToRefresh','d0b3bfdbb0e2bb51986d0bb1a7f93f71d480168c','Chris Banes','2012-12-20','True'
'androidPullToRefresh','1669f287d4926e65dfe82bde5591222fcf81e8dc','Chris Banes','2012-12-19','True'
'androidPullToRefresh','3553b4a544ed5b26b725239fc11696347b249b2c','Chris Banes','2012-12-19','False'
'androidPullToRefresh','4bab109a95ea2e0e442b63d50a291cc9b22bb073','Chris Banes','2012-12-17','False'
'androidPullToRefresh','b62cb4e1eb5011258192d583f0a0667ef0c00f20','cketti','2012-12-14','False'
'androidPullToRefresh','55c9c32b0e43eaf4cf28b84b300ffd51ac01c08c','Chris Banes','2012-12-13','False'
'androidPullToRefresh','cae3c9cad738af3f920bd7ba291a7604aa85a4ac','Chris Banes','2012-12-13','False'
'androidPullToRefresh','a372b8051f67fc140d7d4afc63f1cfcd62e96073','Chris Banes','2012-12-13','False'
'androidPullToRefresh','0280dfb04f25f0228dbc02fb186421b8c04a2526','Chris Banes','2012-12-13','True'
'androidPullToRefresh','7694d1604bcebfd704c321c3fc9144dbaddc7f0a','Chris Banes','2012-12-13','False'
'androidPullToRefresh','4f1ed057a78d754fd0819d229342c902a18bccb6','Chris Banes','2012-12-13','True'
'androidPullToRefresh','3753787a223d4ef4b50b52b77e01402c31af88b2','Chris Banes','2012-12-13','True'
'androidPullToRefresh','901a200d100f4c6693c9107c18381dc7b7b2e750','Chris Banes','2012-12-13','True'
'androidPullToRefresh','c1fa9ba419419c952bf9e254986e34c888a512f0','Khaled alHabache','2012-12-13','False'
'androidPullToRefresh','01ff0678bb914eca979fc7d08660fcf22c10942c','Chris Banes','2012-12-12','False'
'androidPullToRefresh','57f796dc01f5322ae8a125c7ca1c1dc7059acc11','Chris Banes','2012-12-12','False'
'androidPullToRefresh','f01cf9a3433b220a1fc017a3b37d9b45c505a109','Chris Banes','2012-12-12','True'
