project,sha,author,commit_date,is_bug
'androidQuery','7434e46bbf78506fa8f91518058cb26ed47597b8','Peter Liu','2013-11-25','False'
'androidQuery','e815c9de8c59ae5790411f4ee24b7814c0ce39bb','Peter Liu','2013-11-20','False'
'androidQuery','355ae572a6fe66b239117949bcf2a5b1e082c760','Peter Liu','2013-11-19','True'
'androidQuery','062abc7db1a56c54a6f81df84b5af78a38955d1e','Peter Liu','2013-10-31','False'
'androidQuery','c145c51cbbae4b2bb2787e398782fbd2bd56b297','Peter Liu','2013-10-17','True'
'androidQuery','ccfd1c2c02d3e72510eb0c6e74c629ee962200fe','Peter Liu','2013-10-15','True'
'androidQuery','f7f4c26e405c4294f690c3f29b4a1227877a6666','Peter Liu','2013-10-14','False'
'androidQuery','8a03207fcc868a4dc1d77f22033df4e3474beb72','Peter Liu','2013-10-04','False'
'androidQuery','2c6174af0037ae19161bac282395f1f748bbe071','Peter Liu','2013-09-24','False'
'androidQuery','da6e319f47508ddceb44072450a1621c4bfaf0bc','Peter Liu','2013-09-13','False'
'androidQuery','0e4bebdec8b4482fb7732b716ed105a679b60b30','Peter Liu','2013-09-11','False'
'androidQuery','8b2a419d666102c2d5a5eb1042340512179caff0','Peter Liu','2013-09-11','False'
'androidQuery','e178d1e51fcf9ea9375130b8465176b3faacb723','Peter Liu','2013-09-11','False'
'androidQuery','235c3412541915ec1a285c2027ff9e5a515ed627','Peter Liu','2013-08-14','True'
'androidQuery','69b361c9a8b18169f5f30ab6f00c72e5367708c8','Peter Liu','2013-08-09','False'
'androidQuery','284e28ccc4704b1c9d8f2bf0948826b0cd2002ba','Peter Liu','2013-08-09','False'
'androidQuery','93b0015e6eecfc106b8c2e1208a7ced52997be09','Peter Liu','2013-08-09','False'
'androidQuery','cb7e83b9be978da52713210d4713822a5f3f09a5','Peter Liu','2013-08-07','False'
'androidQuery','4e37605e7656c2b7aaab76947d36f6588be219bf','Peter Liu','2013-07-31','False'
'androidQuery','553d2a9baf3acd8c808c5b71f932279324c35efc','Peter Liu','2013-07-31','False'
'androidQuery','cba8b3d096c349393583b547e9fb825f5132c2a8','Peter Liu','2013-07-23','False'
'androidQuery','157dbc7510812bf09358bcdb048dc4036e03e34f','Peter Liu','2013-07-03','True'
