project,sha,author,commit_date,is_bug
'androidUniversal','d6ef01b96ebe1113733a5488d9cc8182e69fb5e4','nostra13','2013-12-28','True'
'androidUniversal','2a39b211f16c1f760e31243117138b0c29878a42','nostra13','2013-12-28','True'
'androidUniversal','c97b8c67d7aff121fd7b00a584ac32755d6dd3ad','nostra13','2013-12-27','True'
'androidUniversal','4e839dac1804f005a1d0f1aace03740a402348d0','nostra13','2013-12-25','True'
'androidUniversal','66ae8d31857444a35b510801f7ccdc75c4406d84','nostra13','2013-12-25','False'
'androidUniversal','7e37e6c6589bf8ed141737624525bee7ad036fd2','nostra13','2013-12-22','True'
'androidUniversal','535d9ec0a91d69ad713c1c32d03269df1c546ccd','nostra13','2013-12-22','True'
'androidUniversal','6ac23aa86a0543e6101ad4689910bbbc756b8332','nostra13','2013-12-18','False'
'androidUniversal','6298eaaaa8da8a13cf40899716069b0bfaa10c54','nostra13','2013-12-18','True'
'androidUniversal','0bd259d8fae38be3abe2dacbb62e71884eef8408','wangwang4whu','2013-12-16','True'
'androidUniversal','8e7a413866907a63018e28c6db221157baa82afa','nostra13','2013-12-15','False'
'androidUniversal','bc9c2b96f5857b92d5e1476433a46821b064ab50','nostra13','2013-12-14','False'
'androidUniversal','ae1bcd4ab5b165ad7eacbd29805827491f938a23','nostra13','2013-12-14','False'
'androidUniversal','1e169f67b2d5d02ed1a2e386285506e7bb29c3a9','nostra13','2013-12-13','True'
'androidUniversal','142dbe15d203203cc0b2c086adfe33bb76c4f832','nostra13','2013-12-12','False'
'androidUniversal','81a54d1ab7c0b07e05787d7f70dd94c4f6bd2419','nostra13','2013-12-12','True'
'androidUniversal','ce73c726467934ed4da037e4a4686271e0ea69fd','nostra13','2013-12-10','False'
'androidUniversal','59c025536fc14f97dc62fe8af5e07832da6608f6','nostra13','2013-12-10','False'
'androidUniversal','18012793891c498ce9863484ce88d92c885f86d2','nostra13','2013-12-09','False'
'androidUniversal','f16b091e36417556b1052886f832b482bf2a1150','nostra13','2013-12-09','False'
'androidUniversal','8356cedee0c3538e70553b0ccbef7f1eb45a6a87','Alex Vasilenko','2013-12-09','False'
'androidUniversal','d503050d7fdf640af2bf262d376dd2c1f49b3a60','nostra13','2013-11-27','False'
'androidUniversal','66042fe4a38d5e96030144546290ba0404d24e28','nostra13','2013-11-27','False'
'androidUniversal','38df1bf182a3f6e51b73a7e0135b23b870bc2086','nostra13','2013-11-22','True'
'androidUniversal','9df7c425ff1c75c7cf57e6f9ca585f60887e4c51','nostra13','2013-11-21','True'
'androidUniversal','1fe8bc41e92f815db3266ebe6d525dc85ef9f007','nostra13','2013-11-21','False'
'androidUniversal','42bc1c850cbcac52ec82e6204b48a4536ef4cc58','nostra13','2013-11-20','False'
'androidUniversal','d4a57bdb04cb0fd4599e5676c93a13d9f8474ad5','carlonzo','2013-11-19','True'
'androidUniversal','25cafed47f8e4fd5e529ce4233ff9e7148803037','nostra13','2013-11-19','True'
'androidUniversal','69d507065079e824ff1cb9c77d0b923f1d729b00','nostra13','2013-11-19','False'
'androidUniversal','686edc9654f1b4813d74facbfdf236b1dbbdb3a8','nostra13','2013-11-19','False'
'androidUniversal','b0688057d8fa813d42215fed8ececa3d72af3d09','nostra13','2013-11-19','True'
'androidUniversal','cc4ecc76fe45c11275222f1f87b56fecb2fc3112','nostra13','2013-11-19','False'
'androidUniversal','b6b8412fd504ab02a5c71065581f0712cd0565c0','nostra13','2013-11-19','False'
'androidUniversal','f94460c9a6bd73d878e34a158920ec19c21ff8f7','nostra13','2013-11-19','False'
'androidUniversal','d3ead7a00413c56635ae345a3da9746cdfbd87e5','nostra13','2013-11-19','True'
'androidUniversal','35025265f9c9059588f7ba2cfd8e9075d64ec07c','nostra13','2013-11-19','False'
'androidUniversal','0b823e94a520880f3f1dc792d627e949ca308f2f','nostra13','2013-11-19','True'
'androidUniversal','edd90e8a614992da546f6f871caa44581af17a14','nostra13','2013-11-19','False'
'androidUniversal','4ddda6dc10428b80ee3cdb313b244e047f2f4c77','nostra13','2013-11-19','True'
'androidUniversal','56f4df896682733c9979b348e46ba77494851304','nostra13','2013-11-19','True'
'androidUniversal','dcb5e7982e71f76bf5aac5830e18c713839ff478','nostra13','2013-11-17','True'
'androidUniversal','4f3172262de460ad4b59d86f036c8a38aec9ee93','nostra13','2013-11-17','True'
'androidUniversal','22345c7b61300c0dfe3ef12e222abdf8e874c5d2','nostra13','2013-10-13','False'
'androidUniversal','f841edd9379bbd0888e7d3320fde2fd375b7078c','nostra13','2013-10-09','False'
'androidUniversal','ea207757b845bb5f0c3c9d06b218f89861029efe','nostra13','2013-10-08','False'
'androidUniversal','e2d62fd53a5825fe0c6584333afc0822086132b0','nostra13','2013-10-08','True'
'androidUniversal','fb90529bb924ac5f8acbf69212aa820998d75151','NA','2013-10-08','False'
'androidUniversal','906beecdb8c45d4bb56da3fa40bdd2acdbe4370a','Wonjun Kim','2013-10-02','False'
'androidUniversal','08fe96dea2d3d8e326a9584d5cc8769fbfe8a3d5','nostra13','2013-09-02','False'
'androidUniversal','d9a9f6adeffcfd559e131ba925aa809866acc781','nostra13','2013-09-01','False'
'androidUniversal','692d2af63889ab91911ce2fb321199f992a7402a','nostra13','2013-08-21','False'
'androidUniversal','d8e91738517ceeae317e0ac6db8575101761d8df','nostra13','2013-08-21','True'
'androidUniversal','e211602d2bddb47ca26eda0010c3bb82ebb456b3','nostra13','2013-08-21','False'
'androidUniversal','c2be1ef7cfb01167de8ca3ec9a2d76c2782a93cd','nostra13','2013-08-21','False'
'androidUniversal','0de0ecfd7ebac2379aab7a5559f1d03f0e045be7','Pavel  Dudka','2013-08-12','False'
'androidUniversal','5233d06c44850cb21878f36afc03defa2eac6e2f','nostra13','2013-07-31','False'
'androidUniversal','752f8bdfb0a188f1d932372280689fd66f9db2d0','nostra13','2013-07-31','True'
'androidUniversal','29be59a65411d95604ef0dbfa3cb772d8571c431','fatkun','2013-07-27','False'
