project,sha,author,commit_date,is_bug
'androidViewPager','c4f96b78d28ecd8a9e9ef7ff5b1ae301778391dd','Jake Wharton','2012-09-09','False'
'androidViewPager','77d3bee1fdd8b33810fdc00347c4d6535f796bf2','Jake Wharton','2012-09-08','False'
'androidViewPager','4573560b56a56cb86f0143198a16cee08c20b246','Jake Wharton','2012-09-06','False'
'androidViewPager','0643658722e9c813b3ceef8e05d24153408d42c5','Jake Wharton','2012-08-29','False'
'androidViewPager','16e2b5a17a8ff38f7a6e6094d344d8d465a81b6c','Jake Wharton','2012-08-29','False'
'androidViewPager','92b68698a7e301ceca5a9d48f924058745c21d65','Jake Wharton','2012-08-28','False'
'androidViewPager','e9ad47e20497cccb61258368ae27bdd9f0eb146c','Jake Wharton','2012-08-28','False'
'androidViewPager','f8d595f8b03e2687aaf982100a7e9d1e88f0067b','Jake Wharton','2012-08-28','False'
'androidViewPager','779932bf8460410be66a276892ec8eb573f345d0','Jake Wharton','2012-08-17','False'
'androidViewPager','e8658508eefb721c855b3109eba4217a3e011e71','Gabriel Ittner','2012-07-29','False'
'androidViewPager','422167de7b330f644f5c28d4a2dd64180bab527d','Edward Dale','2012-07-27','True'
'androidViewPager','41b4b53cce83279d660d0b4496992221c272b1f4','Dandre" Allison','2012-07-11','False'
'androidViewPager','ed6954ad52d24607422d9485dc029c538885d24d','Jake Wharton','2012-06-03','False'
'androidViewPager','7fbd45715574f9e91d2a75330547b3e111674686','Jake Wharton','2012-05-19','False'
'androidViewPager','21d5b1a2a29bd110e0b25c8a55574becfc1a56fe','Jake Wharton','2012-05-19','False'
'androidViewPager','9bb973a727cf3e06c9d67b275ccd4fcac52826c6','Jake Wharton','2012-05-19','False'
'androidViewPager','5c19756a80ae1022144ed4593639946108774787','Jake Wharton','2012-05-19','False'
'androidViewPager','32fd71ec500670a7d20acdf1d4a1aa1d87d97599','Jake Wharton','2012-05-18','False'
'androidViewPager','c46603f41e18bbccecf9735b18ccfc272bb71dbf','Jake Wharton','2012-05-18','False'
'androidViewPager','9e76ea504133d91642312fa6dd5efe943a19345f','Jake Wharton','2012-05-18','False'
'androidViewPager','4acdc43a0423c99444b37efec9c587c8620b9463','Jake Wharton','2012-05-18','False'
'androidViewPager','015d2b58755e2c0f953812e2006bfe84b2a1a7bc','Jake Wharton','2012-05-18','False'
'androidViewPager','554d755656754698dc4a609937ad77911a04861f','Jake Wharton','2012-05-18','False'
'androidViewPager','4ad38a94e2ee6d48b6efa844bd5ad4a7340ab0ec','Jake Wharton','2012-05-17','False'
'androidViewPager','cab2b7f5ac40f80ed5929185d1f507cadc17d300','Greg Meiste','2012-05-01','True'
'androidViewPager','ce03c8d00c53506f6bb060e610feec661dca5b3d','Kevin Sawicki','2012-04-27','False'
'androidViewPager','9c02436062a8d14532d8121c3dae69083e3b6d38','Andrew Kurniadi','2012-03-28','True'
'androidViewPager','711e38807a4b40e3c756b9d8589b499b0dd01541','Samuel Tardieu','2012-03-22','False'
'androidViewPager','bf148036aec7326ccc75f7fdc507bb91267ee7bb','Jake Wharton','2012-03-17','False'
'androidViewPager','ecea97e98103566ad71136ba3fc3e241ec0e1936','Gabriel Ittner','2012-03-05','False'
'androidViewPager','f7b793cc20b2022969e1b17ffb3a4bb5f5bb665b','Gabriel Ittner','2012-03-05','False'
'androidViewPager','81065a6eb23e5121346a9c616e07a57bfcdbe2cc','Gabriel Ittner','2012-03-05','False'
'androidViewPager','c2716ca1a38cad523ab2eb3ae0074b8071068f6b','Vincent de Smet','2012-01-27','True'
'androidViewPager','b888f0726c86cc936b186b040bc1a9969f039ae0','Jake Wharton','2012-01-26','False'
'androidViewPager','dca87e4f576ccafea0cde8f7ac9beb7c3d1cb1f2','Jake Wharton','2012-01-26','False'
'androidViewPager','8aab6c904e6fdc384ac15d6ce2100412843fdf3a','Jake Wharton','2012-01-26','True'
'androidViewPager','9fe68aef590dfb08951524cec31727061cc8960c','Jake Wharton','2012-01-26','False'
'androidViewPager','35b3cc560d30012acc764130d4675626aa0639cb','vdesmet93','2012-01-26','False'
'androidViewPager','b900ff669563b53e9eb096b8f5b321d166f26727','Jake Wharton','2012-01-13','False'
'androidViewPager','0789558e6534baaf23691f26fa5dd16607f9fba6','colony','2012-01-10','False'
'androidViewPager','904c47d90604057db9c1a2c08af3c65868be4307','colony','2012-01-10','False'
'androidViewPager','6e3e659b5f3077f4251037d283fb92f349457c94','Colony','2012-01-10','True'
'androidViewPager','10ea9cc7cb72ed6c71e5f397db852843792a9b63','Rob Wills','2012-01-09','False'
'androidViewPager','cff902cde2da041ed0ee0699e9c449dc17570c15','Chris Banes','2012-01-03','True'
'androidViewPager','0cb864c57bbcbe15c8d76c34cbac9b6ae90f36cc','Jake Wharton','2011-12-31','True'
'androidViewPager','073395d19f304b9be0b9cc45cd0c94dae8169be0','JakeWharton','2011-12-22','False'
'androidViewPager','a281c055ceea097d4306c2312f36e7056a178416','JakeWharton','2011-12-22','False'
'androidViewPager','b477ed89a6f169639da9ee5c40f38070955ddcc3','Jake Wharton','2011-12-14','False'
