project,sha,author,commit_date,is_bug
'androidannotations','60b43652baedef1a3613012ce026bd7548af389c','Damien','2014-01-12','False'
'androidannotations','14f0ce69cebc563b1426e193bcf663a3f52db9b1','Damien','2014-01-11','True'
'androidannotations','67d05ba4d0d8298d51f3c03ebaafa423495082f7','Damien','2014-01-11','False'
'androidannotations','eb80ac30d1870331bd9b4285511c0c4f5210737f','Drozdov Artyom','2014-01-11','True'
'androidannotations','993a6801a391c03fee6e1b5f3bddb4acd3b90579','Drozdov Artyom','2014-01-11','True'
'androidannotations','44bce422fa008e0d5f8a3d8364e617f19eb8ec3a','Damien','2014-01-10','True'
'androidannotations','dfa270dac627630819c74a3092b8dc33b43f5161','Drozdov Artyom','2014-01-09','True'
'androidannotations','e7de0657d90443b172c5052063a0a7186f375740','Drozdov Artyom','2014-01-09','True'
'androidannotations','ac5ada61f5eef445de9e4e538e0c04adda0ed679','Drozdov Artyom','2014-01-09','False'
'androidannotations','091888cd03fcb54a7c89e39fcfaa5e5f94f70abd','Drozdov Artyom','2014-01-09','False'
'androidannotations','62219801f5c56b39a9b72d1eb47a20c973013a94','Damien','2014-01-06','False'
'androidannotations','8783de5ae967e7d21aaf2c8fdaf0488d9e427ae8','Damien','2014-01-05','False'
'androidannotations','5d18fc8c15989cff68163c2c89e1ddc433610509','Damien','2014-01-02','True'
'androidannotations','b6ac6127107a8a9d835580e03e576bac695c7edd','Damien','2014-01-01','False'
'androidannotations','623386f6ccd9dbd06df4632022f72fa30fbb32a2','Damien','2014-01-01','False'
'androidannotations','94c8dda7e424c7ceb8f96d0f0cb930eb300d422e','Damien','2013-12-30','True'
'androidannotations','302edcbf11e51f9bb52119fe7b183d745d76c6d5','Damien','2013-12-29','False'
'androidannotations','cfc27068d4856595c4899dff580f838b593fb0a4','Damien','2013-12-29','True'
'androidannotations','6ef067dd4e772f36d53f10ded2ad8246c452e80f','Damien','2013-12-29','False'
'androidannotations','7a5a283eefde1791efd9b0a9adab4c15a1ad6685','Damien','2013-12-29','False'
'androidannotations','21c0731878787ac5be909ee3ed251f0476b09e9e','Damien','2013-12-29','True'
'androidannotations','d9a95cae66439eea2369c41e534cc3fe13d26288','Damien','2013-12-28','False'
'androidannotations','edcd13685e7811ff6165081ed06e3139ede0122b','Damien','2013-12-24','True'
'androidannotations','c29358319884fa3aafdbf686233bb8b1073ba2e2','Damien','2013-12-21','True'
'androidannotations','47827925a4991866e0fc899c3bddee399e16e227','Damien','2013-12-19','False'
'androidannotations','62daabdd4bce2f0faefb43955a2c26d9ac08e647','Damien','2013-12-19','False'
'androidannotations','a499220994915bf9ad808a6853901c6037d10048','Damien','2013-12-19','False'
'androidannotations','0a6eed4e267f413d8b15ae89bf74d702caa0c465','Damien','2013-12-19','True'
'androidannotations','94bf5b8741df422e116773f2fa2678a7023fe3a8','Damien','2013-12-18','False'
'androidannotations','ebf237b239495f98ba69d0054b4a8d62d2423a77','Damien','2013-12-18','False'
'androidannotations','74fd5f114e93098ace2a7695bcb719ab5489edf1','Damien','2013-12-18','False'
'androidannotations','883b5b19656b4fcff38c4ff4ac549ddf90b112f6','Damien','2013-12-17','False'
'androidannotations','5c209253a58564dc1403c7cc34b29275bc84f8d5','Damien','2013-12-17','True'
'androidannotations','9b6e113d4cf73935b08e354a9f256ba50ae0cd24','Damien','2013-12-16','False'
'androidannotations','997d9452aa6bf6b28ef2fdbc58108a4bbf9e0513','Damien','2013-12-16','True'
'androidannotations','fa7fd1388edd4237edbe3547836ad8b3cfad8fb1','yDelouis','2013-12-11','False'
'androidannotations','ea91f41eee17977162407e90be2871cf6f3aa6f5','yDelouis','2013-12-10','True'
'androidannotations','1bed539336a755753de8949c4207cb110cab9fa3','yDelouis','2013-12-10','True'
'androidannotations','516cb96141b678047b99ce5a04cab548a224b7be','yDelouis','2013-12-10','True'
'androidannotations','f9056d6382e29c90cca5b062d6130ebaa8661a42','yDelouis','2013-12-10','True'
'androidannotations','ccdb2d507d4b7a1adb7d1445fbcb2ab8399d3722','Damien','2013-12-08','False'
'androidannotations','aae4ea9d92314026fbc353d1c7b5638edf51a61b','Damien','2013-12-08','False'
'androidannotations','4d0f446339a7f05a4cb97c711c025a39f97f0840','Damien','2013-12-08','False'
'androidannotations','4a90ad6a0cc426a963c6e80cfd65a1249970310d','Damien','2013-12-08','False'
'androidannotations','ed00b2eb4bda092ca3a929ff12a28b462c4fd735','Damien','2013-12-08','False'
'androidannotations','44a0206a61800cc4aed0c3156791237c725b1ce8','Damien','2013-12-06','False'
'androidannotations','cce0a2cf0e1d22c871add267b40a501159e6b2ca','yDelouis','2013-12-08','False'
'androidannotations','9ad6e162fd5425974684d0e6de4d5dcab4dab01b','Damien','2013-12-06','False'
'androidannotations','7aa62309f1edf3ef5c70768eb45395bdd57d6fbc','Thomas Bruyelle','2013-11-29','True'
'androidannotations','85042a7b0ded3c6abac82d2789b7f11ec0535ed0','Damien','2013-11-22','False'
'androidannotations','03d35cb48d845c35dd5adea8ee34ce7613928a75','Damien','2013-11-22','False'
'androidannotations','1c9d514424bdb5fc6fa77643515d8e7b05e90d63','Damien','2013-11-22','False'
'androidannotations','cc2cfc7b0002ebba16a980a5627a7becdb066af2','Damien','2013-10-18','False'
'androidannotations','d5a2470cd8ce43339a4f021bc697df6b37cf6380','Artyom Drozdov','2013-11-21','True'
'androidannotations','1e73aaf00b1e6459297f7994f15f2d075099699d','Damien','2013-11-08','True'
'androidannotations','5d2c3fad07dcb90a8b64f8fe976d55d94ca0b583','Damien','2013-11-08','False'
'androidannotations','f0865bbfb99a2c90c7db2bebd4b78d5298666e9a','Damien','2013-10-23','False'
'androidannotations','65d8c368c4361e690ce51e06883b3a317920fd1b','Damien','2013-10-23','False'
'androidannotations','3b1ab57a443c4a2f69e45b340f28899cf880804f','Damien','2013-10-23','False'
'androidannotations','2ee251d00cd7d86814c1486844ca180af943aeb3','Damien','2013-10-23','True'
'androidannotations','51f31e1a12a082ef28ff97650abbd2f192b91067','Damien','2013-10-23','True'
'androidannotations','ed8e0318f6d767882c24c563bf9d0db02ccbc51f','Joan Zapata','2013-10-17','True'
'androidannotations','2c87f825766a7fd5c560e5d16a57532a1b125760','Damien','2013-10-12','False'
