project,sha,author,commit_date,is_bug
'atmosphere','32c5189ede63a8efc2a9f12b2ddbfee3a1d3d611','jfarcand','2014-01-18','True'
'atmosphere','2b00bb2929b0606c8758d3d91501395c70940950','jfarcand','2014-01-17','True'
'atmosphere','7ffe3d74a8664331502b51121986b2fdb7d24507','jfarcand','2014-01-17','False'
'atmosphere','256e34c106ac0b41f9e3839b3def76bab47a701d','jfarcand','2014-01-17','True'
'atmosphere','31037b99b39bf000d52da5000b94ab1d81db890a','jfarcand','2014-01-17','False'
'atmosphere','30e536a2ace888b854e01bd2431cfe1d557f2eca','jfarcand','2014-01-16','True'
'atmosphere','54b8da1f8b70ccd9e92c5648149b159bb8273787','jfarcand','2014-01-16','False'
'atmosphere','b2b03c23b19619735d114bb2fdd52c69831d776e','jfarcand','2014-01-16','True'
'atmosphere','e53e773ef7131b9a7cd1cbdf319c2599109965fe','jfarcand','2014-01-16','False'
'atmosphere','d5bfc41451f27f08b0adecef105acd44a56bac82','uklance','2014-01-16','False'
'atmosphere','2efe42ff331219da6d9933908c78c81069452b94','jfarcand','2014-01-16','False'
'atmosphere','ed4f5596278bc98df6a4e8bd45774725fc477e26','uklance','2014-01-16','False'
'atmosphere','48820c64c960c8491a04ed3ea529308ea7db1472','jfarcand','2014-01-16','False'
'atmosphere','1738a27cb30443a9b97845c0c874683ad3cc5656','jfarcand','2014-01-16','True'
'atmosphere','ace3a7b075bdd90ffae06d2643ed075e1ee15657','jfarcand','2014-01-16','True'
'atmosphere','3c83596837972e7c5292147e563b5c7ab2ffdaea','jfarcand','2014-01-16','True'
'atmosphere','a148d980367d5a6f1a47dc8e1c153eb35d7e746d','jfarcand','2014-01-15','True'
'atmosphere','f446ee6cd7d0edb2fb602f7cf01464d468b328eb','jfarcand','2014-01-15','True'
'atmosphere','47fb38c723e82244f630c19bc38716c0cf64e426','jfarcand','2014-01-15','True'
'atmosphere','969a2ee3374c4944eb51bd7750493c9c0028758f','jfarcand','2014-01-15','True'
'atmosphere','7db8937f231517810572c94229051c0fbde98459','Jeanfrancois Arcand','2014-01-14','True'
'atmosphere','c4105ff62e421d958bf1b3773a71cdaaedec51bd','jfarcand','2014-01-14','True'
'atmosphere','c71fa176fb245d5ea9c8fc2b7de7e78918c5812c','jfarcand','2014-01-13','True'
'atmosphere','d9b8bbcc629aa999bd5ce04d0b899677b4d12ea5','jfarcand','2014-01-13','False'
'atmosphere','768fe5bdee668b3fe0f17eb5f23f21e707b6cd98','jfarcand','2014-01-13','False'
'atmosphere','0aaa94462bb08336d43b9c8becbbd538108fa318','jfarcand','2014-01-13','True'
'atmosphere','1cf1eede8056f6676abe5e60c365a32672a1a43b','jfarcand','2014-01-13','False'
'atmosphere','71f4e7b27274b0af5974aa8c28797eb88d47a09e','jfarcand','2014-01-13','True'
'atmosphere','6a2db2951bdca1b7465ba29d39baa5020e0a432c','jfarcand','2014-01-10','False'
'atmosphere','2e6e7754077bd1e9afee5f5a59a3454dc79a5d93','jfarcand','2014-01-10','False'
'atmosphere','a4badb1c93540df58194fb9243575199c147afb2','jfarcand','2014-01-10','False'
'atmosphere','679d77c16378fb9fa13d10aae5d220f263df2b80','jfarcand','2014-01-10','False'
'atmosphere','db1f9bfbab486d14775ff7e1522d531a7a471c81','jfarcand','2014-01-09','False'
'atmosphere','d4ec2ad6d43d1343b88bea3990a2d8c6e3cf9989','jfarcand','2014-01-09','True'
'atmosphere','0fc0be8ede1d4e789e62610ccfa1e1e809b08636','jfarcand','2014-01-09','True'
'atmosphere','78e8859a2d2295730de406ec0deff495bf0beb05','jfarcand','2014-01-09','False'
'atmosphere','9a846bb164140f14f649f29becc71919bbbd3ca4','jfarcand','2014-01-09','True'
'atmosphere','1c8f40558c1d7d39d69f22fa55ec047e2dd4328d','jfarcand','2014-01-09','True'
'atmosphere','3aa65652651cea3f277da1e62dae1c5ba8285e00','jfarcand','2014-01-08','True'
'atmosphere','3595b7c38e413d197f57dc2455b0c3c131bdcff4','jfarcand','2014-01-06','True'
'atmosphere','9323cc36826997d5ed866fae1364b0db8e2b240d','jfarcand','2014-01-06','True'
'atmosphere','4e3f636421f14d691acaa21888c8df06511ccbd7','jfarcand','2014-01-06','False'
'atmosphere','5172331cbec8ea9a7a7af908b879e3013ac52133','jfarcand','2014-01-06','False'
'atmosphere','69d0a48e66d3297fa65e746619a4101aea73f8c6','jfarcand','2014-01-06','True'
'atmosphere','1419029071892261a417a30449b18a279c5ab331','jfarcand','2013-12-18','False'
'atmosphere','8c4d2ae75837fe911bce03b5a3a47fcdf4c86a61','jfarcand','2013-12-18','True'
'atmosphere','09fe0c889485e49ff673ab5333a0d27ea8540ff0','jfarcand','2013-12-18','True'
'atmosphere','4b7b7610b0e77ce6d56e5bcbf883d6361d03d8ea','jfarcand','2013-12-18','False'
'atmosphere','09d797b897eb93411f831e2aade5b50faecfbf49','jfarcand','2013-12-18','False'
'atmosphere','757f9fcb6e002b4111253a127cd50f8cc617a287','jfarcand','2013-12-18','True'
'atmosphere','cb5f72662e32a40a7dffe063153f35fc20513f40','jfarcand','2013-12-17','False'
'atmosphere','cff9cfd8d4ffef0f0640a3c17c8ac36637b3ea96','NA','2013-12-17','True'
'atmosphere','3fa233dc63e2ca6f01c2a894522527e4ae68f73e','jfarcand','2013-12-13','True'
'atmosphere','f3c166d4aa9de0c994dc9748f011b7ef93dd1b32','jfarcand','2013-12-13','True'
'atmosphere','cc645400078188254dfd8e8c2d89639197d0b80a','jfarcand','2013-12-13','False'
'atmosphere','204daa8de47eed7fc7813e9954c0af63b79c017e','jfarcand','2013-12-13','False'
'atmosphere','4ac536b343610473582b3ca14b54a3fb854a7bc6','jfarcand','2013-12-13','False'
'atmosphere','b15ca1e56071501194e6ba3f4310bf88104c73e5','jfarcand','2013-12-13','False'
