project,sha,author,commit_date,is_bug
'clojure','ef2e762e21a817305314ed10bc33505bed6874a5','mikera','2013-11-24','False'
'clojure','43873e477dff33e5c53323bf8ceddc014b870a40','Alex Miller','2013-12-05','False'
'clojure','c8d3ef3929e8049a84957002bc7e2071844bfb53','Alex Miller','2013-10-25','False'
'clojure','6be05801ff060122bec43e4eac5fdddf5e174fcf','Toby Crawley','2013-11-22','True'
'clojure','22164511c43ef19fbff91fb75ef5f7147526769d','Gabriel Horner','2013-05-24','False'
'clojure','1e5e5be1f52ebed5466b592b1cffd46c84ef6cb8','Tim McCormack','2012-01-16','False'
'clojure','b50c03eb1fef609ff087f46bd7afa748122b0cd5','Stefan Kamphausen','2011-09-09','False'
'clojure','70ea97879a1c78357cc911aa62c8e79a47f3a92b','Andy Fingerhut','2013-10-25','False'
'clojure','020bf971fba53c6a0d65d9d7c25a61462e88d9c2','Andy Fingerhut','2013-08-30','False'
'clojure','047ca37cfcd2e9910345e760fae32de168f4cb74','Brian Taylor','2012-03-07','False'
'clojure','28b17747428f2f7afbf85fb77039b880b5d83adc','Andy Fingerhut','2013-09-27','False'
'clojure','a989c01eed7ce29cc7672b7a402e4f335d792882','Bronsa','2013-05-25','True'
'clojure','94637e48ae7cffef98eb61df9bdb9dbfb183bf89','Colin Jones','2013-06-21','False'
'clojure','b1fd40a01b6f631f1f1887ed5b25345e00e47727','Andy Fingerhut','2013-09-17','False'
'clojure','40d2ba536df40adc74ccfa1c06d44063599cf846','Stuart Halloway','2013-11-22','False'
'clojure','3b4a35cd011e6160ab1f981824a883646295b1e8','Christophe Grand','2013-10-28','True'
'clojure','249479ecebcb0cfca9e6a1d528e3d7f0b3ca7dc6','Stuart Halloway','2013-10-31','True'
'clojure','574fe819a67d5f5bd83a8f7dde6ffe3b5d7a4ecf','Timothy Baldridge','2012-11-29','False'
'clojure','6d1d9f6e5dcc7d8a925485e55d96d1f1530b2366','Toby Crawley','2013-06-14','False'
'clojure','462e4b2b2cd3361cce7325334bae96ec831ca7c5','Alex Miller','2013-10-25','False'
'clojure','995a36a68a1314c54270cba77d95883255b0fc4d','Karsten Schmidt','2013-08-29','False'
'clojure','71892d138a7d0194a34bec2d21cd3a5c3c1bfe4e','mikera','2013-07-23','False'
'clojure','916da1962bc452a97e0140f0815dd30a71899566','Gary Fredericks','2013-07-02','False'
'clojure','39aa021e83b4d5bc2d7c3b13c56c04daee4c27d0','Alex Miller','2013-09-04','True'
'clojure','67c02f27d65b64191a31d62d67d647ea88e2d666','Andy Fingerhut','2013-09-08','False'
'clojure','0b73494c3c855e54b1da591eeb687f24f608f346','Rich Hickey','2013-10-08','False'
'clojure','97ab7e72adc5b7385bfe7b46835bae6f17efd598','Ghadi Shayban','2012-12-19','False'
'clojure','5e95db7dfe3a7a61bc8df4eab5ac877c4bea678e','Herwig Hochleitner','2013-02-28','False'
'clojure','6a2487a1eee4d66099290ccb819a0b5149ea8fd0','Herwig Hochleitner','2013-02-28','False'
'clojure','357ba727bf0efc6a61e6032870e5214422f66818','Alan Malloy','2013-03-06','False'
'clojure','fba9b9ac90341e6fc86c59ceaf39f3dd0e224320','Alex Miller','2013-07-24','False'
'clojure','229bf8fe9a751e4f48bb2b7ea57e27ebc43d26ae','Rich Hickey','2013-07-07','True'
'clojure','88cad2510243289d2bbe28cf8bd14007d9df5fc3','Chris Gray','2011-11-09','False'
'clojure','96f5b5bdcae44ccc69e33d701e6188dc2570dadf','Stuart Halloway','2012-11-01','True'
'clojure','dfbd70bd5f4674ebbae18a8e1bb5bd937be4791d','Rich Hickey','2013-03-06','True'
'clojure','4671019d78fc7b83768b5cb1e7bb4c699f24af3e','Rich Hickey','2013-02-09','False'
'clojure','21425a642c44bd1cdb8d3e537a7b6a23c1267bc7','Aaron Bedra','2013-02-02','True'
'clojure','692817a10283c98c5d57bf3515ba39cf533d7aad','Rich Hickey','2013-02-07','False'
'clojure','19f1e493500724a2dfd878349cf18a49ba20e94b','Rich Hickey','2013-02-07','False'
'clojure','e5df49bc386926eccc217b877402d45a571a2d3a','Rich Hickey','2013-02-05','False'
'clojure','53201d8c38a984401ae9d70190cf1959902edf64','Rich Hickey','2013-02-05','False'
'clojure','29537a627f1100824455f8bdfadeef5d98122b28','Rich Hickey','2013-02-05','False'
'clojure','5cf6aa3f90778498c116d143750ce31a0e2cee39','Rich Hickey','2013-02-05','False'
'clojure','38a129f2631a75ed999b52d8e0440f730b00da1f','Rich Hickey','2013-02-04','False'
'clojure','1428d43c9a5f9d0e7e89a55707868df76c69d549','NA','2013-01-20','False'
'clojure','974a64c06917861b7557fd73154254195b2de548','Rich Hickey','2013-02-04','False'
'clojure','9b80a552fdabeabdd93951a625b55ae49c2f8d83','Rich Hickey','2013-01-28','False'
'clojure','6ce5cf6fea3ecf6f11e8b1824d1c1494c478774a','Christophe Grand','2012-11-21','False'
'clojure','f48d024e97868cf5911004d87bbb2347d65b89f9','Rich Hickey','2012-12-11','False'
'clojure','94e7f39171a418d09356bd2c7865697f5b21281e','Christophe Grand','2012-12-03','False'
'clojure','93505932f782f6de94b7b9a06a5b6dfd884c7d8b','Christophe Grand','2012-11-07','False'
'clojure','d77489d3ce912c177fe288a6f399a5c1da6683db','Christophe Grand','2012-11-27','False'
'clojure','79a1b793f87af417b430450f3c24e7cfe456e3e2','Steve Miner','2012-10-20','False'
'clojure','a34e8f478220ea3394e672ea77b017feffec5b99','Philip Potter','2012-09-03','False'
'clojure','fca9a62e4c18ab126a1df90f929b7cf9fb0199db','Tassilo Horn','2012-10-11','True'
'clojure','65b5f73a9be30669116fcddb6ced9e60680532e5','Rich Hickey','2012-10-07','True'
'clojure','7bc871f16d90064a2c562523332267b4543d751e','Andy Fingerhut','2012-09-08','False'
'clojure','6a424a971de1ae3a72115308d3fa9c3a44ea846e','Andy Fingerhut','2012-09-09','False'
