project,sha,author,commit_date,is_bug
'dagger','bc6fcabb92d8d6000e540ea215eac08485ff0634','Jake Wharton','2014-01-15','False'
'dagger','32c1ca1a96fc80f9b29877e6aa60f8bd4fe38116','Jake Wharton','2014-01-10','False'
'dagger','1ac981cfb395b487747d5e28cdeb8b9a1ca4cdc7','Christian Edward Gruber','2014-01-10','True'
'dagger','89c834a99eda3be19dba9061bea4a62a1b710623','Christian Edward Gruber','2014-01-09','True'
'dagger','a7584aa5e0f28ede37006682e75f7bae72c92ace','Christian Edward Gruber','2013-12-03','False'
'dagger','be9ae34698e5dbaff1f6559ab947b2d5765fc377','Christian Edward Gruber','2013-12-03','False'
'dagger','af6ebcd9faccf1c5e2d1ab66d98b106edc80e090','Christian Edward Gruber','2013-11-21','False'
'dagger','a20573758afaba98766075c9363c19de32943424','Christian Edward Gruber','2013-11-13','False'
'dagger','1e1dac82ea8e59cae5b24ecd978fb3bcf8be077a','Christian Edward Gruber','2013-11-19','False'
'dagger','0c83fac9e27bc21f26708fec6d989a7e713ef17c','Christian Edward Gruber','2013-11-19','True'
'dagger','617da5df98ee144cf89a7a16693f541e2e52c1a2','Christian Edward Gruber','2013-11-19','False'
'dagger','f39a1944c59bd4e7adbd9b7fb5de9115acfdb821','Christian Edward Gruber','2013-11-19','True'
'dagger','4f8cd0eb762894b6424a6216a52418dbeeed686d','Christian Edward Gruber','2013-11-15','True'
'dagger','a0c15a1166c418fdd984d96e28482d26f2243a52','Adrian Cole','2013-11-10','False'
'dagger','c6ca340b6ee577f69bb073fd012b596a23d92e76','Christian Edward Gruber','2013-11-12','True'
'dagger','16ac8f1894e691c49534d0666fec1ebc139faef6','Gregory Kick','2013-10-16','False'
'dagger','150c7b32473ee312c1d047ddced5229d45cdaccf','Christian Edward Gruber','2013-11-12','False'
'dagger','b0a2094e018aef06963120adae55a00e4ac47af3','Gregory Kick','2013-10-16','False'
'dagger','b41d6327cc0d6c3cd52a421a3977f06497affa1e','Gregory Kick','2013-10-16','False'
'dagger','c28ad5b04c9b28bd7da11ef32413a1acfa060d68','Christian Edward Gruber','2013-11-08','False'
'dagger','c30813c559e4f6391dc6aaab8988670298eeb4ee','Christian Edward Gruber','2013-11-11','False'
'dagger','2701d3cfaeb8af4a6da6c30300534788bd84b8d3','Christian Edward Gruber','2013-11-11','False'
'dagger','b71236a4deed454b968b435e02b3e047f6b79ed8','Gregory Kick','2013-10-15','False'
'dagger','3dbb3d029f14ca5ae5b20120de2466cc4a74902e','Christian Edward Gruber','2013-11-10','False'
'dagger','952fe55d184f875007c88e728434b67fb8ef1e25','Christian Edward Gruber','2013-10-15','True'
'dagger','b59d8647be4b6c26ff7f7581592a44860cb2df65','Gregory Kick','2013-10-15','False'
'dagger','dd8b09b01f50ab93d0633a39f3674e42f66f2329','Gregory Kick','2013-10-15','False'
'dagger','9d8aa6d68cf35aeff680ed86d9a930080f96ace0','Christian Edward Gruber','2013-11-07','False'
'dagger','96670ee280c7f98c3f80fc8e983d6d875e423f6a','Christian Edward Gruber','2013-11-06','False'
'dagger','b533d152372e37a5fcc041d372f77570ef6f6e82','Christian Edward Gruber','2013-11-06','True'
'dagger','2098c7eeee64c5e51f96d5436cf806392635b602','Christian Edward Gruber','2013-10-13','True'
'dagger','219a420e1436b9606dcaf40dc6670df6e0f78f9a','Christian Edward Gruber','2013-10-15','True'
'dagger','7c13d870211991911b5909bd2562a288d9c13bdd','Tobias Preuss','2013-09-20','False'
'dagger','ac838ac2a9862f3f2866b8fcd2659a1846f3e8e6','Christian Edward Gruber','2013-09-12','False'
'dagger','58123e452a4319bb75fbe4d0f01269c2621b9a46','Christian Edward Gruber','2013-09-11','False'
'dagger','454b0751ec77265cc4a7460e3c7c75a6fabc6766','Christian Edward Gruber','2013-09-11','False'
'dagger','b4623512e0be2dfedd4556abf894a0a8d8696531','Christian Edward Gruber','2013-09-11','False'
'dagger','4f8681686bd506c9dcc579b048cffe50a212fd8e','Christian Edward Gruber','2013-09-10','True'
'dagger','81e5d6e6299b7b887fe5c4c8f1cf25c96236b5de','Steven Goldfeder','2013-08-12','False'
'dagger','cab08af5e4614d223b6375c70caa233cb5dd0683','Steven Goldfeder','2013-08-12','False'
'dagger','728a41cb20df8ebb513a4d0549be6620ea5389a1','Steven Goldfeder','2013-08-11','False'
'dagger','d843cb92cf9fd312517da673fbc6ead2ac34774a','Steven Goldfeder','2013-08-11','False'
'dagger','081ec51e6f7de2245bf2218b4add22fbeab375ec','Hugh Cannon','2013-08-05','True'
'dagger','7b40f781e05764c8d9770b8a48996a03bc5ef160','Steven Goldfeder','2013-07-24','False'
'dagger','2695218df7488f6d9ad5bd2d506926600424c042','Jake Wharton','2013-07-26','False'
'dagger','804f1ace32423ad8ff9a357befcca59750a5e5b5','Christian Edward Gruber','2013-07-25','False'
'dagger','40107b0d3da2533e3f592deced9ea4dbe998068e','Christian Edward Gruber','2013-07-25','True'
'dagger','199fc13138ba64d60a0f4b676c6fc236e76088ce','Christian Edward Gruber','2013-07-25','False'
'dagger','ff95341c835313483eec741cb09542fd10d81769','Christian Edward Gruber','2013-07-24','False'
'dagger','736c652b2f0afcd7f6115dd0c4d719fac26aee10','Christian Edward Gruber','2013-07-23','True'
'dagger','55bf51fad68a1f3141c2362cdbe066bced34de37','Christian Edward Gruber','2013-07-23','True'
'dagger','2a77e87694465fe20aa41d3634478413a7a827eb','adriancole','2013-07-13','True'
'dagger','b72d31cb5bafacddae703cfbb2952022209e1b7c','Christian Edward Gruber','2013-07-22','False'
'dagger','0403d77e2fdd24e16db859e34312c554e5cbbf21','Christian Edward Gruber','2013-07-03','False'
'dagger','799a404f59532a31a9194dcd61cad8e2b6129b6a','Christian Edward Gruber','2013-07-09','False'
'dagger','c3d7c1b6369c450f5914fc2157fd9b6e54290462','Christian Edward Gruber','2013-07-09','False'
'dagger','2a9203f8bfcc8e7425f9fb94ce04b2dd2c4c0577','Christian Edward Gruber','2013-07-09','True'
'dagger','e3a26c8b2c949badcf1f8b628fa6661d3bf86577','Christian Edward Gruber','2013-06-29','True'
'dagger','2fa92e61fc5b6eac0129eb36e514fbab11990731','Christian Edward Gruber','2013-06-28','True'
'dagger','f457d87cb62d5cc5d66ac818f45dc1c2bf17a336','Christian Edward Gruber','2013-06-28','False'
'dagger','525cb97df2458da90a4ff99c917b098c7c8b1db9','Christian Edward Gruber','2013-06-28','False'
'dagger','9f411af73facb585e64858264b07eb7a56b3a923','Jake Wharton','2013-06-17','False'
'dagger','052d406b8c08d04884b4db9e1312ee2230dc1e1a','Jake Wharton','2013-06-17','False'
'dagger','ec9c6be9b26391a09a8135b65e553b6d6d2f541e','Christian Edward Gruber','2013-06-14','False'
'dagger','f3b5d7612a661bd774fbfe397ba3f9904f3523f9','Christian Edward Gruber','2013-06-13','False'
'dagger','dbfa84f0edc51d82bc3c871ca956037f43714bb7','Christian Edward Gruber','2013-06-13','True'
'dagger','1e04216536c22ed526283b3a6b01f26476f7f644','Christian Edward Gruber','2013-06-13','False'
'dagger','fb0ae12753d97080bad437cd8e3f8b66fb177464','Christian Edward Gruber','2013-06-06','True'
'dagger','980e72a75f13e80f9332237834ede6eb353078a4','Christian Edward Gruber','2013-06-06','False'
'dagger','768c73161c2a622c774742f95f7585f4964fcdf9','Christian Edward Gruber','2013-06-05','False'
'dagger','5b4ba9439da5848507cb2d64e35aa1caca0c1d84','Christian Edward Gruber','2013-06-06','True'
'dagger','d4155a1d044dbc995c914bb20e99f50405add73d','Christian Edward Gruber','2013-06-05','False'
'dagger','45fff791d2b667ff8c84722bf924b692cb662e17','Christian Edward Gruber','2013-05-30','False'
'dagger','92d18c1e2f3333e68fc9e5ca066b85dd94f6a73b','Christian Edward Gruber','2013-05-28','False'
'dagger','0713811c56ba1e1f41775a8569dc7e864cfef68a','Christian Edward Gruber','2013-05-24','False'
'dagger','17f6d8158976f1f8e190335dd2cad65c3f51b7e8','Jon Reeve','2013-05-23','True'
'dagger','37befaccc0aa34c8b5105f3d76005dacfa79a4f7','Christian Edward Gruber','2013-05-10','False'
'dagger','1bbfb114a5c9c48b3fc476397cedb62503fcd6cf','jwilson','2013-05-07','False'
'dagger','b96585a372eb17ab2c1fd7f855352d99e99801b3','jwilson','2013-05-06','True'
'dagger','f478f405baffb8d55bacf2b3eadfd10d7c3792ce','jwilson','2013-05-05','True'
'dagger','70a96dd02771e701691f64e975094c87bf3c75a7','Jake Wharton','2013-05-05','False'
'dagger','ea2b460fd2872bd0412302c06b468ec3d1ea796d','Kiran Ryali','2013-04-26','True'
'dagger','aac66a2f483eb4d6fdb1690f0b96d7e980138326','Jake Wharton','2013-05-02','False'
'dagger','a99c67fad1ac8540d954c5d7d5c94570c64e063e','jwilson','2013-05-01','True'
'dagger','5418dc3731eeda8bc2ca4eeba576ae9d0a7a199d','jwilson','2013-04-30','False'
'dagger','cee648fb591371d108e4c01acd0d6f37d44db813','jwilson','2013-04-30','True'
