project,sha,author,commit_date,is_bug
'drag-sort-listview','1c8eae8c3addefc398a0dc570f94944ed54db6da','Carl Bauer','2013-03-12','False'
'drag-sort-listview','cf5115a6f3ee0c347e8bb3bf9552403e7e813eb1','Edward Dale','2013-02-13','False'
'drag-sort-listview','545a22a8d89968ac13590f53a09a62614ec3984d','Carl Bauer','2013-02-28','False'
'drag-sort-listview','c18d591291f53fb93783765c7081a414b47bfd27','Edward Dale','2013-02-28','False'
'drag-sort-listview','c5f07d473a48325d0f12994025fce525c3027e20','Carl Bauer','2013-02-14','True'
'drag-sort-listview','c5893f355d9963c2f2f7dca9ebc612fc535cd990','imbryk','2013-01-29','False'
'drag-sort-listview','d736daa3671d9b1229a64cc7db8ae377af08ea9d','imbryk','2013-01-22','False'
'drag-sort-listview','1ccc2183ac3606c5d85dbe7b16d00c2234cfb120','imbryk','2013-01-22','False'
'drag-sort-listview','1bbcf0ccba08cd031ea69a2227e3b0a3ded71507','imbryk','2013-01-21','False'
'drag-sort-listview','b0901a1f70664a2e7e30096785932b3e4084e269','imbryk','2013-01-21','True'
'drag-sort-listview','ef48c2a0f1ef3ec842cb0632e5bdab04e20e1bda','Carl Bauer','2013-01-17','True'
'drag-sort-listview','6afde132367e295ba8611f14732fab85d2720859','Carl Bauer','2013-01-13','True'
'drag-sort-listview','6a1d999d6f3415df41e99897781c171bc5e07aeb','imbryk','2013-01-11','False'
'drag-sort-listview','ff93708fdcdce0d90f4344cb1746ebc9f3d2ad9c','Mattias Flodin','2013-01-08','False'
'drag-sort-listview','ea7e153d5b96e3abe62a3389218ad3f0beb83dac','Mattias Flodin','2013-01-06','False'
'drag-sort-listview','e42d7ab04f6d1d5d4ec1e4803e37ac7687f86634','Mattias Flodin','2012-12-05','False'
'drag-sort-listview','64b887dd0cf7eb424ddc529729f98a25e131e2bd','Mattias Flodin','2012-11-25','False'
'drag-sort-listview','0ad9f5bebe4ccffd7d335243f58984ee3eb1a29b','Carl Bauer','2012-12-13','True'
'drag-sort-listview','89a79f1997790c3bb6302f050554a5ca74e2d958','Carl Bauer','2012-12-13','False'
'drag-sort-listview','16e43e9da86ce3634f3a3bba0586c530117971c5','Carl Bauer','2012-12-13','False'
'drag-sort-listview','64441c0438ffd8d8607d7786291377a3377f1cd2','Carl Bauer','2012-12-06','True'
'drag-sort-listview','9d3be5acdad6559001e691a59149e474d3a94eb1','Mattias Flodin','2012-12-05','False'
'drag-sort-listview','3206dfa6a174587bdbcbebafbce1ea69440b8255','Mattias Flodin','2012-11-25','False'
'drag-sort-listview','44d3a1355e9bc4643b181b650ec63a9f00849b81','Carl Bauer','2012-11-26','True'
'drag-sort-listview','bcc021473e4c2a2c39381a8b7bc72c6abe9741e3','Joel Pedraza','2012-11-26','False'
'drag-sort-listview','74f59870c4ed474f6eb2cb88e69ce4e688fafba6','Carl Bauer','2012-11-21','True'
'drag-sort-listview','594ffe46a1c870c4c66a2c8763e18462294332cf','Carl Bauer','2012-11-17','False'
'drag-sort-listview','a645bab42f50817c343c8762a663c887e587e0d7','Carl Bauer','2012-11-15','False'
'drag-sort-listview','6b0a388480c2c902b34cf3c31197c0b59f7a2f87','Andreas Schildbach','2012-11-05','False'
'drag-sort-listview','e28b1e01a7478be396e86768d41087fe171b2891','Carl Bauer','2012-11-10','False'
