project,sha,author,commit_date,is_bug
'dropwizard','6d1fa7b2cf70b0b9a34a1bc6953b59cd7ed3989d','Johan Wirde','2014-01-14','False'
'dropwizard','09c129a3e191301718766ad4a9833ab584b139d5','Tristan Burch','2014-01-10','False'
'dropwizard','6c8ec841db83810d6ba2ac2e45b66060585cbae6','Camille Fournier','2014-01-10','False'
'dropwizard','6b226165e623daca72e50f00bcdecf745b51766a','jclawson','2014-01-08','False'
'dropwizard','fec2dce400fd820232e0f43964f0618dc398b9a3','Jochen Schalanda','2013-12-01','False'
'dropwizard','fb169246a5ca50c956ca64a10b623543ac43ba48','Tristan Burch','2013-12-13','False'
'dropwizard','05e421c7f525f2e89498f694b6f7f86c30907641','Jason Clawson','2013-12-13','False'
'dropwizard','a4ea85a9c4d1df458e0d9484db56d8f7d388bd84','Johan Wirde','2013-12-13','False'
'dropwizard','d94f2ff5b5ab60f334639325e825f1c61eb36517','alex-bezrodniy','2013-12-13','True'
'dropwizard','e6dd3c8d6a40c5ea1803b00b558b31229c621614','Jochen Schalanda','2013-12-01','True'
'dropwizard','fe5f4f66b024cfa7e56aea363c7e2108fb687602','Nick Telford','2013-11-04','False'
'dropwizard','6c27becface125a0e4707bd69b9abaf2b739cb4b','Saad Mufti','2013-11-03','True'
'dropwizard','f707ae050f691ddd806fd33141038f62a9876010','Kristian Klette','2013-11-03','True'
'dropwizard','d7822ace6e76711f602aa37701f5a4b4422a44a0','Vadim Spivak','2013-10-28','False'
'dropwizard','f33ffa53c2a48837e20c164a1a30d6da981ecb38','Graham O"Regan','2013-10-07','False'
'dropwizard','445c3dda8c883c542ed1946fb033df0a69eb0dec','carlo-rtr','2013-10-04','False'
'dropwizard','422b5920cf2724c258f014e28c05939161650fb9','carlo-rtr','2013-10-03','False'
'dropwizard','78603e0400170074f808d0320bb5ac119ce4bbfb','Justin Plock','2013-10-01','False'
'dropwizard','af24145647928e005e4e7e3e216cf3c8e490bcb7','_ Kilemensi','2013-09-30','True'
'dropwizard','4d76caf01c62dd1b862d20f5fc41b0971dafc860','Nick Telford','2013-09-23','False'
'dropwizard','a1b97c5e1c2554383d252a151b984030cd27d0ec','Nick Telford','2013-09-23','False'
'dropwizard','aa27842fde7470d278a2f1f0809176ad30cd2a76','Nick Telford','2013-09-23','True'
'dropwizard','228b5811ec52f4792315844179e7acfe082b530d','Nick Telford','2013-09-22','False'
'dropwizard','43f8a9b9627fa644556d14bbeed522409bc4d390','slavus','2013-09-22','True'
'dropwizard','fea235fe91ee5e96b050ffd4a272f403c4b4ad43','slavus','2013-09-22','True'
'dropwizard','bc6af3ca13a1f0608baef280aca73e089e2f8f22','Nick Telford','2013-09-20','False'
'dropwizard','2fb87ad9f4f04501a0b5c707ea74cd26197e7723','Nick Telford','2013-09-19','False'
'dropwizard','8bfc3f4b023efa891aa4ff4ce71815132f58db3e','Nick Telford','2013-09-19','False'
'dropwizard','fb2d46d17a812b38a0be833b1171b99f999c1b0a','Coda Hale','2013-09-18','False'
'dropwizard','317f2e5cd4237fe5b94f5a525b0e3a3e4bc0667c','Coda Hale','2013-09-18','False'
'dropwizard','7017b5a258bec819fb834e53d163fc2c0f3c51d9','Coda Hale','2013-09-18','False'
'dropwizard','6a9c72227ecc641b5da7cb37572b5d4f53f92f4c','Andrew Look','2013-09-16','True'
'dropwizard','90b3b0057baeba491fc13220f9b9e72d5e7c5f19','Andrew Look','2013-09-16','False'
'dropwizard','3a24aaae8f744bac047f0965e2a397c361031cf5','Jochen Schalanda','2013-08-28','False'
'dropwizard','5485c6cb8e2dcd26177c5abe93883dc01357d0f9','Nick Telford','2013-07-29','False'
'dropwizard','a31f7cec727e2a98991d26a982a0157d3d879d88','Coda Hale','2013-07-26','False'
'dropwizard','87470d37e363dfe5407e27eec3518e85cd851ae1','Nick Telford','2013-07-26','False'
'dropwizard','89a4339dc4aea931a0f902787736a6849dee86a6','Nick Telford','2013-07-23','True'
'dropwizard','f5ed70b84efdfee4281ffb585c3c2370343b3909','Nick Telford','2013-07-22','False'
'dropwizard','fc8ca784cc83c4f214a5322e66c05d9884144731','Coda Hale','2013-07-02','False'
'dropwizard','61457b55208086511533b24795a2a49d6cc2a629','Coda Hale','2013-07-02','False'
'dropwizard','d1aa0330da8f6a59eddf865dbe6e09d71a2f6a77','Coda Hale','2013-07-02','False'
'dropwizard','e38ff426c54abaf714ac58edc2f31d0a53c96d92','Coda Hale','2013-06-25','False'
'dropwizard','3ffbca0b33d0fde3c599975a49cc4e0034917644','Coda Hale','2013-06-25','False'
'dropwizard','b3650115a35ffe16cb964e7c97d3b0976b06638f','Coda Hale','2013-06-25','False'
'dropwizard','d5427454a0ff2631cda55959b00e75f0b2caaf90','Coda Hale','2013-06-20','False'
'dropwizard','a0eafbdf2b118c6dfdad9505149347f384d1e2ac','Coda Hale','2013-06-20','False'
'dropwizard','f653ad91892098f113e1cf90516b021619d1cba8','Coda Hale','2013-06-20','True'
'dropwizard','6ff3c18bc1e6af59fa3bbb9ff4dacf2f22dcb126','Coda Hale','2013-06-20','False'
'dropwizard','10c2251d0d1fea41f64d0d2b4afdd524d02b7bc0','Coda Hale','2013-06-20','False'
'dropwizard','fc4258d082582c7d3969dba51e73ba2143d45938','Coda Hale','2013-06-20','False'
'dropwizard','7f33c864f38593fd2ac4375181b5137a1edba134','Coda Hale','2013-06-20','False'
'dropwizard','fc3c003081a0d0f26e98d031b906a4fc5b750cf0','Coda Hale','2013-06-20','False'
'dropwizard','589117816738d7338732047a4af8c2cfc9385245','Coda Hale','2013-06-19','False'
'dropwizard','fdf27ecbcbe7ba0b6af930d218758e8bda69b851','Coda Hale','2013-06-19','False'
'dropwizard','061dd61157f9416b2990973297ce9e736dc6fcf8','Nick Telford','2013-06-19','False'
'dropwizard','ae2625611510cdeabfee3a256d4f413a14944179','Nick Telford','2013-06-19','False'
'dropwizard','761e8f77fadb33326872eefeb2f72df683b1e52b','Coda Hale','2013-06-18','False'
'dropwizard','24d69d6cf3755b33d3c9763afe297ec493882b51','Coda Hale','2013-06-18','False'
'dropwizard','75a6805e1fb42b1c9db0cee820a3d950046f09cb','Coda Hale','2013-06-18','True'
'dropwizard','1cab293beb41769226866d010b59014ef20d96b4','Coda Hale','2013-06-18','False'
'dropwizard','2f35d57699eae215dfd0f14cb7cda14df59cd593','Nick Telford','2013-06-18','True'
'dropwizard','416a6efd0d926502f171af87417991c9c22db339','Nick Telford','2013-06-18','False'
'dropwizard','1d5cc6baef5f772629142419d3ffc757c599332a','Coda Hale','2013-06-06','True'
'dropwizard','846e69890ec3ddf712eb3afe7764a86d1ea7c580','Coda Hale','2013-06-06','False'
'dropwizard','2e66aa5ad864f981b1f1dd1d98fb7f0b69c10605','Coda Hale','2013-06-06','False'
'dropwizard','e8706215958c962a35986b8c5af567cde8c6f0d8','Coda Hale','2013-06-06','False'
'dropwizard','ab43616135a919db37f178235663b83c048f1f1e','Coda Hale','2013-06-06','False'
'dropwizard','eb579c495b26a3b74bc24ab40f201aa755946a56','Coda Hale','2013-06-06','False'
'dropwizard','c8b315a37aac1569d479df37f8a5ea1ca625748a','Coda Hale','2013-06-05','False'
'dropwizard','921feb272fb59a5ecfee0a5b7313aa251841ea02','Coda Hale','2013-06-05','False'
'dropwizard','8fafbf9781d5028602e9befd73a85b5a047ec0c0','Greg Bowyer','2013-06-04','False'
'dropwizard','0eab40cf2272743329e4af5d523a7e8b690ce733','Greg Bowyer','2013-06-03','False'
'dropwizard','01036d24183b5ae1d101973bd8f4fdf2b6a32627','Greg Bowyer','2013-06-03','False'
'dropwizard','8b65e50346a00b6e4db1f0adc57c8eef37fe3165','Coda Hale','2013-06-01','False'
'dropwizard','cb92a57d0691d15fef07ea984e05494cc50e4a2e','Coda Hale','2013-06-01','False'
'dropwizard','7dacf096be6b18016e5d8a4e2f92ce9f24c6da0d','Coda Hale','2013-05-31','False'
'dropwizard','f7a23d81dd44cb802c28758a0090932cac4b1131','Benjamin Bentmann','2013-06-01','False'
'dropwizard','5cbbba079c9508e6465c7a1971e0db7bc6002433','Coda Hale','2013-05-31','True'
'dropwizard','9253a31093ee37b137297ac66a83a12587360fad','Coda Hale','2013-05-31','False'
'dropwizard','ae7c61bc53c09f98a84c08b60a7783f3efff89c1','Coda Hale','2013-05-31','True'
'dropwizard','2d3861102e4257a905172726101a6a000ef9fa07','Coda Hale','2013-05-31','False'
'dropwizard','78a4ba85fe52950d40d7529bc86e3bb83d55823d','Nick Telford','2013-05-31','False'
'dropwizard','73ea5f8b009b2393345c7c298787f0367106b634','Nick Telford','2013-05-31','False'
'dropwizard','6b5adf1c40a5c2fca8c9f3fe9b40608e96dd907c','Nick Telford','2013-05-31','False'
'dropwizard','40f599914c6c1d6e30dc65c5e2531435c1efe01d','Nick Telford','2013-05-31','False'
'dropwizard','d53f02915566d46bc8c5d1fb58a957c00928d603','Nick Telford','2013-05-31','False'
'dropwizard','be7c85d11b9cfa73e72a5690b8852cdde3b7f4c1','Nick Telford','2013-05-31','False'
'dropwizard','f4e5a46b164244ca82cd0120f6381509daf116ba','Nick Telford','2013-05-31','False'
'dropwizard','3df504400d428e69351936a020cec53b588f077b','Nick Telford','2013-05-31','False'
'dropwizard','fc7368075f756f186470a8f544665d57212125d2','Nick Telford','2013-05-31','False'
'dropwizard','2f592b2c12104437158d7526ea692ff02aef9f42','Nick Telford','2013-05-31','False'
'dropwizard','1fb5f1f6e84aea7c161d26e99e2621a73d91cab2','Coda Hale','2013-05-27','True'
'dropwizard','0a721a0ba01ff9cd7e5a5d831817342bd5b9e1b8','Coda Hale','2013-05-25','True'
'dropwizard','1d55b9d43988681bf7a5b1ba4385b8d39524e6e5','Coda Hale','2013-05-25','False'
'dropwizard','4281a1fac60a39de79c4d7c6a3cb1eeff3806fba','Coda Hale','2013-05-23','True'
'dropwizard','bded23c73a9159f6602baf66346ca35fc1cd58f6','Vadim Spivak','2013-05-22','False'
'dropwizard','98b40f082462fc06a7127ce7e8452bddc708e13d','Coda Hale','2013-05-16','False'
'dropwizard','b989c919d95ed7932932cafba42a2925c7f3bad3','Coda Hale','2013-05-16','False'
'dropwizard','e38107324f13873649dfb64f08c4d33adea9451e','Coda Hale','2013-05-16','False'
'dropwizard','a736752085c332ffb765e43c714d28db58451995','Coda Hale','2013-05-16','False'
'dropwizard','745ce79424cd5cd3c61994c775ad8f70931a0f0c','Coda Hale','2013-05-15','False'
'dropwizard','cc040324274a380a3140744394336aa34329144c','Coda Hale','2013-05-15','False'
'dropwizard','b15676e2e2112a59018de61797bc840e7605e02d','Coda Hale','2013-05-15','True'
'dropwizard','487c5dba76df4b2b2bc6b1580fa61c3da79787a7','Coda Hale','2013-05-15','False'
'dropwizard','578edfa2aaf3147949bde9d8343a0b0e856ee2fb','Coda Hale','2013-05-15','False'
'dropwizard','593c0eb17c0581d53189edcb2bf5f805d18b40fb','Coda Hale','2013-05-15','False'
'dropwizard','2c8e33e12792ee0e179a16732c5164bc2eabdce3','Coda Hale','2013-05-15','False'
'dropwizard','82dfb9de6af357d9d13936dc11e3292210110ad8','Coda Hale','2013-05-13','False'
'dropwizard','d4c8ca1610402fa6e61e495ac778cb49cb96531d','Coda Hale','2013-05-13','False'
'dropwizard','bd1b2b021791d2980732a0e50d58e340d3951c58','Nick Telford','2013-05-13','False'
'dropwizard','781363dca5da9857c2265f3ff5768e7c30beb60a','Nick Telford','2013-05-13','True'
'dropwizard','e1920bdb8811217e51221e97dfcbdf7aee03a168','Coda Hale','2013-05-12','False'
'dropwizard','b1d3d05f54b4090037f16220dbdbcc92da3c5360','Coda Hale','2013-05-12','True'
'dropwizard','8443bd716365756925af37f7a9643d4cb884f2f4','Coda Hale','2013-05-12','False'
'dropwizard','429c3b6e68a1bd7773d32ef5ffc483262b2052f1','Coda Hale','2013-05-12','False'
'dropwizard','8cc1564065adbdbd8691c212816ba8f92a9f7498','Coda Hale','2013-05-12','False'
'dropwizard','872a980ede3d19875077e3ca09bd754caaaa602a','Coda Hale','2013-05-11','False'
'dropwizard','57559954f988668f65587e7a88c090f036185f83','Coda Hale','2013-05-11','False'
'dropwizard','3a3cb47ad8c29869e0e95436c20579aef8e17b30','Coda Hale','2013-05-11','False'
'dropwizard','066ead32b7c2c29700c1bb24cc5f364baa1eb5f5','Coda Hale','2013-05-09','True'
'dropwizard','8f7201f8a00745027f24df557bcf6d93dced7212','Coda Hale','2013-05-09','False'
'dropwizard','54402eeb024e023d15f9afc8afb5465359f037f5','Coda Hale','2013-05-09','False'
'dropwizard','b3e5e4df00135a6440752f7aec25d633c3bf0fbd','Coda Hale','2013-05-08','False'
'dropwizard','5e295e5d3d4296c1cbe7c524fac03b112076e571','Coda Hale','2013-05-08','False'
'dropwizard','3dc79e4819cb886f85b698aafcdc61e08020383f','Coda Hale','2013-05-08','False'
'dropwizard','a4eba7567fbec81442ea31e0e8da318a7688d026','Coda Hale','2013-05-08','False'
'dropwizard','6f176f3b2a8ae066f32ef7398eba48ad0ea0de33','Coda Hale','2013-05-08','False'
'dropwizard','ae4b9a5094bf897271d800b70c258ecdf4711e54','Christopher Elkins','2013-05-08','False'
'dropwizard','556d92bd27f2cea8d7ce42080d6619122c38ac19','Coda Hale','2013-05-07','True'
'dropwizard','3cf054663f8c508dc7a02389d2385f444cc584e7','Coda Hale','2013-05-07','True'
'dropwizard','602fc79bbf50a5d8add66c3fbb5cbebb6eee19ae','Coda Hale','2013-05-06','False'
'dropwizard','c7392d1b5e1d1910035f95f2d600bdacfe1abeb3','Coda Hale','2013-05-06','False'
'dropwizard','4150af0621c6d3972a87f7208132f543f7606067','Coda Hale','2013-05-06','False'
'dropwizard','989f82340fda5b290dc2965c1b9005f4e318936c','Coda Hale','2013-05-06','False'
'dropwizard','b57004a2f91f2042245847b2e983ca05f4120530','Coda Hale','2013-05-06','False'
'dropwizard','640d17a4a824efda8d9bfa50fcac82ccc27a7f00','Coda Hale','2013-05-06','False'
'dropwizard','4766ad5945d9fafeae6031a6ee95aa0c96caba0d','Coda Hale','2013-05-06','False'
'dropwizard','f557b7add60e07eba34d64300b87aa80a644bb37','Coda Hale','2013-05-06','True'
'dropwizard','ff3b8341d2763a0becd77e3927c3872f77a42f0b','Coda Hale','2013-05-06','False'
'dropwizard','fac55754eee80c3ae0cc5c459dff27b0cfaa3312','Coda Hale','2013-05-06','False'
'dropwizard','5b8279e9b18931cd3db7715d9fb34368d6a89f95','Coda Hale','2013-05-06','False'
'dropwizard','2fe532e78704820e5a60d1cb8ccb86725e4ef35e','Coda Hale','2013-05-06','False'
'dropwizard','2c3ef4927f5c99d5d31aa81d127ff2ffa257fd94','Coda Hale','2013-05-06','False'
'dropwizard','0114c6114c8161fc98f388301b63fe5163f3f7b1','Lunfu Zhong','2013-05-06','True'
'dropwizard','c6b2f2648f8fcdee334d5c753f727d5a35440fab','Coda Hale','2013-05-05','True'
'dropwizard','c4b320131d179592e30fcbf40bb5fba3d8619448','Coda Hale','2013-05-05','False'
'dropwizard','e9b9ffba8a832f9fbcb7998d48b7c985a0cc22e9','Coda Hale','2013-05-05','False'
'dropwizard','8e79178f0275d71fc4736edc9c2f29d377cb9dcb','Coda Hale','2013-05-05','False'
