project,sha,author,commit_date,is_bug
'jedis','37f629765e236c430357202bfdf562f897072893','Marcos Nils','2014-01-17','False'
'jedis','23b54c2cef17c4d85ab2e25cc659d37ceac83e49','Jonathan Leibiusky','2014-01-16','True'
'jedis','6c8d7a5045e3e8b34944067fe769cacde3be2604','Marcos Nils','2014-01-16','False'
'jedis','46733c5d5a081d3397e05e3027e89435b7859035','Marcos Nils','2014-01-16','False'
'jedis','2f9564e1d331a2cfad400eea17fdf4058e98dd48','Marcos Nils','2014-01-14','False'
'jedis','ccf93714e67057a1b8951713ec1986d236e4fe06','Marcos Nils','2014-01-14','True'
'jedis','a09a682f0910add7492924c0f0bde314f23f9a1a','Marcos Nils','2014-01-14','False'
'jedis','4ab8ea2ef7f349349dbd0c00e89e5c20a967f87d','Marcos Nils','2014-01-14','False'
'jedis','dd0bbdaf9182f5d32c43ce0902b1a99f366c238e','Marcos Nils','2014-01-03','False'
'jedis','1b268157999abf69367fd2b6de7c7aed7b649896','Marcos Nils','2014-01-02','False'
'jedis','b2d22e206037eee2bebd5e4ec0dbe57692f8a57f','Marcos Nils','2013-12-28','False'
'jedis','9f767a084859fad71a6ab972973d2f73f3ae1098','Marcos Nils','2013-12-27','False'
'jedis','53b3e041f3346e4c3ab879decc27673e9344a066','Jungtaek Lim','2013-12-23','True'
'jedis','af72248c221a6844b3e42e739d5bebc791de7940','Marcos Nils','2013-12-20','False'
'jedis','0bc27ac3a298b34d72aabe1afa985fd816a71fa0','Marcos Nils','2013-12-20','False'
'jedis','c00807004592abf6868b4cc61f1ccaa690c0fe13','Marcos Nils','2013-12-10','False'
'jedis','0ebbf02c944308fdb367dfd4e0373534b0975838','Marcos Nils','2013-12-09','False'
'jedis','726c3151b67c194d84c22e2e80fd3099249eecb7','Marcos Nils','2013-12-08','False'
'jedis','a8987ed865e1034f83d1e6a3ef681582ccb8a614','Marcos Nils','2013-12-07','False'
'jedis','46734e646ab3504c40839c84f5906a62d05e7000','Jonathan Leibiusky','2013-12-05','False'
'jedis','8624d1695d11ef4d7e2f526acfdae5c9f1912698','Jonathan Leibiusky','2013-12-03','False'
'jedis','3b7127c8111dc68b585517a2119e9a8f385c5a87','Jonathan Leibiusky','2013-12-03','False'
'jedis','4a4768b1d2dca39c9a31decb7206ef72c7332e4e','Jonathan Leibiusky','2013-12-03','False'
'jedis','20d686ec943ecc59f7c9f86741812284eb656d37','Jonathan Leibiusky','2013-12-03','False'
'jedis','ce3497e34172509e9c341f37895a5e1e00e981b6','Jonathan Leibiusky','2013-12-03','False'
'jedis','e17d24c7108bfcc4ece55a386df1e4720fe438d9','Jonathan Leibiusky','2013-12-03','False'
'jedis','ceac8123d6ea04c190891efffc8ad349a9afa69b','Jonathan Leibiusky','2013-12-03','False'
'jedis','58123034f5bf5ab51fce77980ab447f13bdac02e','Jonathan Leibiusky','2013-12-03','False'
'jedis','a27c67de663bff5a2fbf6b3803d35835ba1515d0','Jonathan Leibiusky','2013-12-03','False'
'jedis','efbb710343b5ca63f679d08213e5265ffda5ee64','Jonathan Leibiusky','2013-12-03','False'
'jedis','5b15d48803078397b3af487bdad289dc9a0ba21a','Jonathan Leibiusky','2013-12-02','False'
'jedis','77d244b96a17b3f9a193e857b1164c2ae70d5b2a','Jonathan Leibiusky','2013-12-02','False'
'jedis','dde278152f391238fb12bacbdd5ed609a06e717f','Jonathan Leibiusky','2013-12-02','False'
'jedis','403f2b292cb9e3f4f1cf71c2f0e46d5d014d1dd2','Jonathan Leibiusky','2013-12-02','False'
'jedis','e7e2bfaedf6328151f7b516fd9b9ae68d263ebef','Jonathan Leibiusky','2013-12-02','False'
