project,sha,author,commit_date,is_bug
'jenkins','93db0d11b033da6efd143a3d255a267a198ea6f9','Kohsuke Kawaguchi','2014-01-18','False'
'jenkins','22f2238b23312a54e8e07d6100446d30bfc67d0a','Kohsuke Kawaguchi','2014-01-18','True'
'jenkins','5727f287e245dc991ba2300790e091eb74981d8b','Jesse Glick','2014-01-16','False'
'jenkins','bd6b999eb0fd4156a281c75dd535090312512fff','Daniel Beck','2014-01-15','True'
'jenkins','b9426e4f17e551d6d68818b8a0adb88c6bb26a18','Daniel Beck','2014-01-15','True'
'jenkins','f0bbc66921fec56dd9565c2a5146734f20f2fb6c','Jonathan A. Sternberg','2014-01-14','True'
'jenkins','ec12c07ef51cc38b60ffeb1808c69c155866926e','Stephen Connolly','2014-01-14','True'
'jenkins','c8930ed1b8d6b2dfa3dc7692f165ff9d9a2ff95a','NA','2014-01-12','False'
'jenkins','515c395cb503a46626119aa9adeec4449579082e','NA','2014-01-10','False'
'jenkins','2767724185d3a11a39f5c3e597b550e7d74eed9a','NA','2014-01-10','True'
'jenkins','cb623640ccd820ad0540efc3b50cc596626e43a2','Jesse Glick','2014-01-09','True'
'jenkins','c21b209ba383e5e4f6522ec866d03fb9ca5745a4','Jesse Glick','2014-01-09','False'
'jenkins','e998c2a670fbb7f9e32af37218e7076de696455e','Stephen Connolly','2014-01-09','True'
'jenkins','540a529dee7ca34ed7dd00bd5da9aa8cfcb57fe6','Jesse Glick','2014-01-08','True'
'jenkins','bbe36a5aaa862d0d93430b73ae668e131c3c9120','Jesse Glick','2014-01-08','True'
'jenkins','0e00797f49309559d830ed7650e36813a553be33','Jesse Glick','2014-01-08','True'
'jenkins','6eb191964b415d7f0a025847d5444db922d6fe49','Jesse Glick','2014-01-08','False'
'jenkins','a22e9feaaef30b89621ae9ca3f33f862ae99f4c7','Jesse Glick','2014-01-08','False'
