project,sha,author,commit_date,is_bug
'metrics','c48868abcdee38e37ff1f9d095eae84566ce3459','Ryan Tenney','2013-12-16','True'
'metrics','eff16d8455cd0e35fde6ae5a3527e78d0d0878dd','Norbert Potocki','2013-12-14','False'
'metrics','731533bf4f0ce173327f2122b6bd99537ae4473a','Ryan Tenney','2013-12-03','False'
'metrics','b0f9f9e29bd30f8db668afe68f1abc595bf901f3','Coda Hale','2013-12-03','False'
'metrics','427eaad53e8d6d42324d43993906238af4884659','Andrei Kolosok','2013-11-28','True'
'metrics','f042ce465ca71ff2c6cd4201de90221fc0f46a79','Marlon Bernardes','2013-11-26','True'
'metrics','f8b1f213035a42cc25543a87604e9b39ee8e8f08','Coda Hale','2013-09-25','True'
'metrics','836404f537d084e0e910c5e944805494806b62e5','Kevin Menard','2013-09-12','False'
'metrics','f67cee6f686f2aab9cecc9b4f2fb05378d8d508a','Ivan Dyedov','2013-09-11','False'
'metrics','0609cc695f486af5482b132ab89aeab392e88f82','Jordan Focht','2013-08-19','False'
'metrics','3f01bd7927a4f5a2dac09ca707f5ee28ed171fea','Brian Conneen','2013-08-17','False'
'metrics','0dbaa941cc2fbeb5bfc0ac1de02e4ee46143be3a','Brian Conneen','2013-08-16','False'
'metrics','1f1e124d65066b7e7fc549ec5446e7f120d72d47','Evan Jones','2013-07-26','True'
'metrics','a29c81a680009a28b1be55cbe11f788b7ceeb6fe','Jan-Helge Bergesen','2013-07-22','False'
'metrics','e64a03c6dcba4d2dcf1739d7e2a874fe909756a7','Jan-Helge Bergesen','2013-07-22','False'
'metrics','c3041c62229543e138850b2aa3d41c2915a374ec','Coda Hale','2013-07-20','True'
'metrics','9847781653cc0ce5313a39155dbf0740a5c12026','Coda Hale','2013-07-20','False'
'metrics','b2a0034b925934e41a6cd1d87521842df8d6404c','Coda Hale','2013-07-19','False'
'metrics','e9c7b6ec7304cff5f4c5d8ebf15d888d9eee08b7','Dan Everton','2013-07-20','False'
