project,sha,author,commit_date,is_bug
'netty','a69c4f2371c48f1b8d437459df9cd9402b4fe198','Trustin Lee','2014-01-19','True'
'netty','a4e587c46bb42ba58a39a5a55835239f78412e0b','Trustin Lee','2014-01-19','True'
'netty','5f9854d8ac27869ebf3598856564a24b56022a8b','Trustin Lee','2014-01-19','True'
'netty','eb4ef433c6672d5710ebbbf0154c49d5e6d5b040','Trustin Lee','2014-01-19','True'
'netty','f97f6b938e269f87ede63293e190947a0c7b3967','Trustin Lee','2014-01-19','False'
'netty','709be30442ff160eb7571bcf340da1e347f198bf','NA','2013-12-22','False'
'netty','a0714d1da3304467d202c501afc460f6b3a6d100','Trustin Lee','2014-01-19','False'
'netty','88fba71b4c2061d529634b1eecd482078e953219','Trustin Lee','2014-01-19','True'
'netty','cab2a0376067600f4e5e7598a799c28fcc346d33','William Kemper','2014-01-16','True'
'netty','1f049367a4dbc8cb84229c8c230303ee2abddfcc','Norman Maurer','2014-01-14','False'
'netty','4dc78c10eeda86e8fef4bd978fab88c2cfa31fcd','Stephane Landelle','2014-01-16','False'
'netty','75cb91ed0ce1465975b596becbc0e0accddfbb7b','Michael Nitschinger','2014-01-16','True'
'netty','396519f5597738ac368e33f87404565e10d31816','Michael Nitschinger','2014-01-15','False'
'netty','3b77a71ffd026736680f09daeac27eb3821d970d','Michael Nitschinger','2014-01-14','False'
'netty','29484a44d5432a719e13376330c5cf9b946f8e70','Norman Maurer','2014-01-15','True'
'netty','78790056c78c64b1923e35f77a65003e2c4cd62e','Michael Nitschinger','2013-12-23','False'
'netty','2f9ad15d3f9febe3fd23f97f9b3fda5e5533e9a8','Trustin Lee','2014-01-14','False'
'netty','ae6aea794c15d7c004ae12cacbf42c3a9dfba0d1','Trustin Lee','2014-01-13','True'
'netty','b16513404447e5e72be7750564f8ee731b6440a5','Trustin Lee','2014-01-13','False'
'netty','17c0722862f88c6e7e9e91eec3e85ea1832b597d','Trustin Lee','2014-01-13','False'
'netty','9c1b9492d52d1b1d1ec38fdcd675bd38f4fc1d0b','Trustin Lee','2014-01-13','True'
'netty','1a54ff843cfa1f9c18a17e1c3ac95708a5776ce1','Trustin Lee','2014-01-13','False'
'netty','ad70e69e470dba48f59a076c565e955e2f7adde6','Trustin Lee','2014-01-13','False'
'netty','e1ab46f56a99dc4b2fcab8645315dd60fab2a8f3','Trustin Lee','2014-01-13','True'
'netty','999b51b026be031ee34fa127e9338c29b135c7d3','Trustin Lee','2014-01-13','False'
'netty','73027521ce0dba2d47b1e6df81dd230cfd9838f0','Veebs','2014-01-12','False'
'netty','6df3bb5a79d5a7d3d7533e6cee9bcd75656fffcc','Trustin Lee','2014-01-13','True'
'netty','a389d69ba8563f9232c84a0a27e870e7c851a8b5','Veebs','2014-01-12','False'
'netty','4ee81d92359a0e6e03553463f13aec56ae082117','Norman Maurer','2014-01-11','False'
'netty','7324ce6fde795bbb8fe64d56807d9d766bf36642','Leonardo Freitas Gomes','2014-01-05','False'
'netty','56f8479b342f51dc58171de7f7ab0030c000e960','Norman Maurer','2014-01-06','False'
'netty','0244e35fa688e7d7502e02ab2e3b9fc8b85ed71a','Trustin Lee','2014-01-10','True'
'netty','9276fbaea03fd3053bb5db74334d01ebdc00332e','Norman Maurer','2014-01-09','False'
'netty','2af14190564a39b7170a981ca2a970c65a2c4df0','Trustin Lee','2014-01-09','True'
'netty','f05a20029b34d3b9402a6af8a6cefebf81fc4f9d','Trustin Lee','2014-01-09','False'
'netty','53110a83b3ce8a71eb0ec4a9087c4754640bdd5f','Trustin Lee','2014-01-09','True'
'netty','0b8e732c6cce5bade1cf5d8a8d87e5c788c6d20f','Norman Maurer','2014-01-09','True'
'netty','06823e3afff6f1eab55f9df58a9e4c1c68087486','milenkovicm','2014-01-03','False'
'netty','2670bb4aae23146873fb4811f643bf231f12a233','Norman Maurer','2014-01-06','False'
'netty','194ba39bc0e131d6eec6355e70e6745514a55285','Veebs','2013-12-30','True'
'netty','906ac233a259933defc3c6e586e272ffea5d14e4','Norman Maurer','2014-01-03','False'
'netty','299ce22938cfe3cb1fb1fc0f12e60e0614d6ae78','Michael Nitschinger','2014-01-02','True'
'netty','ddacf784c18d6712f1b19888d23ee39da71e9621','Trustin Lee','2013-12-22','False'
'netty','0d437baef0c08aa3a9b1bcc271aba4e9e83ec646','Trustin Lee','2013-12-21','False'
'netty','3ca3efac521bafe148feaef968a44e4b81e83827','Trustin Lee','2013-12-21','True'
'netty','4e05c52c2e7447f3c524eb928877dd941fea1929','Trustin Lee','2013-12-21','True'
'netty','e1c47632e807fc92294f2b4a4cbbaf7629b8b215','Norman Maurer','2013-12-21','False'
'netty','906e2d2b37b19dd1ddf1026317719fc2c12cf0dd','Trustin Lee','2013-12-19','True'
'netty','04ec2e133096b285a98efeca7fb98878354cd489','Trustin Lee','2013-12-18','False'
'netty','ca1c82642a72d32241691d3cb4fc91691eae57d8','Norman Maurer','2013-12-18','False'
'netty','d35c2010c48661e7562b0173fdb8ce1c512afcbc','Trustin Lee','2013-12-18','False'
'netty','fa336db89146b4696c354d69b9b04c8991894483','Trustin Lee','2013-12-17','False'
'netty','3e8a1ed6119bf73453ac1197fe8ad4cc09cce8fb','Trustin Lee','2013-12-17','True'
'netty','94d6e44bba867a20dfb11b01b0bf6e5b21a1d2de','Trustin Lee','2013-12-16','True'
'netty','61ed9476ae036cde33bc1556964e8ac5b6e8d887','Trustin Lee','2013-12-16','False'
'netty','af07cc95fac7c2d2ad747c4ce5719f3322b18642','Trustin Lee','2013-12-16','True'
'netty','02a79c51e5e3a8516ac9e715aa9a59645500dd12','Trustin Lee','2013-12-16','True'
'netty','6ddfab3c9c4306bda9d564fb8354ee4b313f7455','Trustin Lee','2013-12-16','True'
'netty','40def86eb46e22734ddb48f52ea2a5aa91c52579','Trustin Lee','2013-12-16','True'
'netty','ee92a12ed5606427553337dd3b303ecf046b75d2','Trustin Lee','2013-12-16','True'
'netty','4302c016d22cff05c8cc218b885840c307700ba5','Trustin Lee','2013-12-16','False'
'netty','e74492681733d4c12956884edc11fa371e9b6389','Trustin Lee','2013-12-16','True'
'netty','5e851460a983e2ed48fd2c8e458ce868d4242b47','Mirko Caserta','2013-12-05','False'
'netty','c8bd76d9a9431e58bbe515759240071332566beb','Mirko Caserta','2013-12-04','True'
'netty','d7faf042a1e2049ac87beb22599015bd1344439d','Frederic Bregier','2013-12-07','True'
'netty','cc295107b32b46abac9fa8d633930d42631a250d','Trustin Lee','2013-12-16','False'
'netty','1a9eb05ba0a3802d0ab784225c5a2c13a07a3b46','Norman Maurer','2013-12-15','True'
'netty','78f3ee33966b8c0fa3639749cb931b3b1e752471','Jeff Pinner','2013-12-14','False'
'netty','48b416f1120788fdb47afc26395148d6b7c62c2d','Norman Maurer','2013-12-13','False'
'netty','ee17139a0399c91c134ca15ceed144da57a3f5ba','Norman Maurer','2013-12-11','False'
'netty','31b977bcadaececaec80a5dd27e4a02abe7729c2','Michael Nitschinger','2013-12-09','False'
'netty','a06810609ba3954a3ec43bf26bbb407710621579','Michael Nitschinger','2013-12-09','False'
'netty','b8ca01bd9ef856cc8e409bba1ed86162f0a735bb','Trustin Lee','2013-12-08','False'
'netty','0d70ba49387f5ac9672c465cf624b59abb4f15b7','Trustin Lee','2013-12-08','False'
'netty','d53f7595d3b05c7ea933480e7de5a3ab3042bf58','Trustin Lee','2013-12-08','True'
'netty','4802c785f6b39e248840564e02a6d48fa5e7d60a','Trustin Lee','2013-12-08','False'
'netty','26979f89011d007cf1a7ddab1296b4524b1a61f1','Trustin Lee','2013-12-08','True'
'netty','4903b7fd176ea55733f5d14fc0cd36bf13354f8f','Trustin Lee','2013-12-07','True'
'netty','5e86ccace97190637a01da3901dafa89558da518','Trustin Lee','2013-12-07','True'
'netty','f03f1eaaba781f85cc686a16163f0bd5da7af916','Trustin Lee','2013-12-07','True'
'netty','2e53322be08edee8364f56777e7145ff380d6670','Trustin Lee','2013-12-07','True'
'netty','082ecd9140b126a7ee7ce3760d9e25b1e9669181','Trustin Lee','2013-12-07','True'
'netty','065b6cf7853f319d09ec35eaa056cfc66a44f4cf','Trustin Lee','2013-12-07','True'
'netty','f8138619f0430586977487fd79317e7a3a0776ee','Trustin Lee','2013-12-07','True'
'netty','73379195ebe71876a5a2bfee099e0812b4d0f518','Trustin Lee','2013-12-07','True'
'netty','b6ac202c15fa8cb54ecc2d6bd77df2d0acf53ede','Trustin Lee','2013-12-07','True'
'netty','524726fd9900cd3c555542bd36b7d8d6102bb6db','Trustin Lee','2013-12-07','True'
'netty','3d54a323cacbad756064c16ff7fc4435e39e391a','Trustin Lee','2013-12-07','True'
'netty','643ce2f8c063e8fd1e96f5cd6d814bfc13053fde','Norman Maurer','2013-12-06','True'
'netty','3c453f5dbaf8524d46c9fb3285d2ea7ae8bdb5b6','Trustin Lee','2013-12-07','True'
'netty','5b68996f5ac8affe8d41fb6e7725c887a688059e','Trustin Lee','2013-12-06','False'
'netty','187a5976cc37e82a6e714f382c8398a11bf48720','Trustin Lee','2013-12-06','True'
'netty','0f3451c227003f90b5e387aad384fc934b75bec5','Trustin Lee','2013-12-06','False'
'netty','ea3143a1ee37a6c22f62096e1f271636c37e551b','Trustin Lee','2013-12-06','False'
'netty','d21568b962e8018272910190091e8d1e7fc3f36e','Trustin Lee','2013-12-06','False'
'netty','6554b8c3958d60699935ba1ac4df2ab0147c8a25','Trustin Lee','2013-12-06','False'
'netty','27d020fc35fad6bccd96a3d64c2fa751167c8f51','Trustin Lee','2013-12-06','False'
'netty','b0da45db7a5db451f6b1db4d7e79e629041d6ae2','Norman Maurer','2013-12-05','False'
'netty','920e7a553962f1814d432478f4c767d03c825ab7','Michael Nitschinger','2013-12-05','False'
'netty','f2bb5f1b4c40d32c73d441938e7872cf8fc99165','Trustin Lee','2013-12-05','True'
'netty','6431be8954dba709dd659fc3e97f4834d987b62f','Trustin Lee','2013-12-04','True'
'netty','6bba3c19dd0feffc97c25d4f01d9f4d8202e8d9e','Norman Maurer','2013-12-03','False'
'netty','ec8967f9ff534de6e738eb928587b9c11b065227','Norman Maurer','2013-12-03','False'
'netty','f9a77b3c83e2745c24efef1e705a89ef0f93f445','Norman Maurer','2013-10-07','False'
