project,sha,author,commit_date,is_bug
'otto','750bac1fb7cc0352f749ce2eec3d66901037fcd2','Jason Holmes','2013-06-24','False'
'otto','94283c3f439c8e409f45d8b84360d5015712278d','Jake Wharton','2013-02-18','True'
'otto','016b3387980041c5bc3afa0751ab569b692d5347','Matthew Michihara','2013-02-15','False'
'otto','98a6a68bc56c5df47775cd8c34a33559a0be84a1','Jake Wharton','2013-02-14','False'
'otto','bbe34b16dbdadd4b229eb21e04ba3d7d908bc4e5','Jake Wharton','2013-02-14','False'
'otto','2fd53f35c2ad8df1901fec0584f24c97f505f51a','Jake Wharton','2013-02-13','False'
'otto','5a23b57399d43bcd61c6b4accf596bb0c079cdfc','Jake Wharton','2013-02-13','False'
'otto','e29ffc5741c9da4b6471b4aa5e602b0648dd119d','Jake Wharton','2013-02-13','False'
'otto','0cc544096f5cbbef9c3ec40c0f714e12f2fb5d1d','Andy Dennie','2013-02-08','False'
'otto','7da07155b56df47d90a650e86a512d5ea0dda711','Andy Dennie','2013-02-07','True'
'otto','74b789a0b970689de70a8990e2ad1ce7eba8478e','Andy Dennie','2013-02-06','False'
'otto','2ce66d0778310970262c9bce4655934e4b13502a','Andy Dennie','2013-02-01','True'
'otto','39c92c156257d70b255beac02a22b5c70ab4cdd1','Andy Dennie','2013-01-31','False'
'otto','802f4e31e2c1662b75de4f7ac68bf42788aa6b0b','Logan Johnson','2013-01-08','False'
'otto','c73d738de8f18d3925873947aaaf00ffe2a090f9','Jake Wharton','2012-11-08','True'
'otto','5dc3f1a8464e870b1a95304a72afa806cfb72f82','Jake Wharton','2012-11-08','False'
'otto','a0eda4a71a2e2d5e7c3722025abbfd712cc4fb0b','joeykrim','2012-11-07','True'
'otto','9f189ac3eaf81d508cff6d67361efa1f71bd64cf','Jake Wharton','2012-10-23','False'
'otto','f7b7231d66d7fa63804e7a31f833e786a94f24d2','Logan Johnson','2012-10-18','True'
'otto','4f8c074d4a8bb146af5779fe7ca9841a6d01c8bd','Jake Wharton','2012-10-22','False'
'otto','3c418cbe7a438a488823ff435f88f3937067123b','Logan Johnson','2012-10-16','False'
'otto','5369c3d37e58da90f31a253d34088266aa984ff4','Eric Burke','2012-09-20','False'
'otto','930d0914e42cb5ded67b88981c097ca6ee90c6c9','Jake Wharton','2012-09-05','False'
'otto','a283a3b84a141d2d5a97e8be0e60d2adeceb6f4c','Ray Ryan','2012-08-06','False'
'otto','fd4e991795d5bc9a50fb0a09d21a175f81163498','John Ericksen','2012-08-02','False'
'otto','912abcab116e908e367a960efc34709ae3a37d7c','John Ericksen','2012-08-01','False'
'otto','cd0453b86adcee667cb36cb6e831db940e85fcf5','Jake Wharton','2012-07-19','False'
'otto','7b9543a1beb39a8cb326f0eb378cff8e2823d109','Ray Ryan','2012-07-18','False'
'otto','234bebf3f8cea4dc45e605c464d8a56e56a112d2','Eric Denman','2012-07-16','False'
'otto','abf211415278ee2208b906b39238587401ffe0b0','Eric Burke','2012-07-04','False'
'otto','0bcec49cad2b3e887608f6d35cea6a773441557a','Kevin Sawicki','2012-07-02','False'
'otto','679203fa08287f033ac4dcefe60176a6139ca786','Jake Wharton','2012-07-01','False'
'otto','3e8da93312a91b3e95c147d921d5f75bf3791f97','Jake Wharton','2012-06-30','False'
'otto','ce82ad9ccda9a50a7f7592e666fd01682a40fd2b','Jake Wharton','2012-06-26','True'
'otto','b7fedb8274e1306bb24004b2e953797c20c7936d','Jake Wharton','2012-06-25','False'
'otto','1b66cef78f522eb1c3f39903b2ffd90c65cdca7b','Jake Wharton','2012-06-25','False'
'otto','34906d940770943ade94f8f95742c0bd20c995fe','Jake Wharton','2012-06-25','False'
'otto','07a78f53f7faabaa89f290067753c021d8806f6c','Jake Wharton','2012-06-21','False'
'otto','ce9a830515f1ceb5a7091cd65e59034b6d83880c','Jake Wharton','2012-06-21','False'
'otto','1e4f4da6b5f9dbf896b13395b2afb56af34ad60b','Jake Wharton','2012-06-20','False'
'otto','d6ece2689c079599b32d70b8b0bfd986f3af0102','Jake Wharton','2012-06-19','False'
