project,sha,author,commit_date,is_bug
'phonegap','75e2607fe416a02a22f3f5f8c433e8b0a6195a40','NA','2013-08-12','False'
'phonegap','e7f98284d528ef5c1551e41223b56b503ae06678','Justin Wark','2013-04-18','False'
'phonegap','877f0c2828fcd6dab3f232cbd9bc9194e456ad8d','Justin Wark','2013-04-17','False'
'phonegap','d25603f1b8511d31152d9ebe4a04b1e70beff8ae','Vincenzo','2013-03-19','True'
'phonegap','f25470b586df598b9cdccab54954badfa7066cb1','yruablaze','2013-02-26','True'
'phonegap','939d7794d8ef1c81216c395030bd1bd2165abfe6','Tommy-Carlos Williams','2013-02-24','False'
'phonegap','16bf7696387b62cbd74db67b37752144f38f1c99','Tommy-Carlos Williams','2013-02-19','True'
'phonegap','9aa3a447480b955507599f61468d9fcb1e494734','Alejandro Etchegoyen','2013-01-28','False'
'phonegap','25faba674e13c8a338f9011f1c953c52758b6087','Alejandro Etchegoyen','2013-01-24','False'
'phonegap','f620ab8f9f5bc23d9b170d7c85e5b94bc35229c3','Simon MacDonald','2013-01-23','False'
'phonegap','7b48deb081f05a784307d153e05d14927c964bae','Alejandro Etchegoyen','2013-01-23','False'
'phonegap','cfaeb2c722045b330534f4a26e207f1827842af5','dvirus1023','2013-01-21','False'
'phonegap','247394256f05cafad13ca8641b866b61c71b0b1b','dvirus1023','2013-01-21','False'
'phonegap','be896eddf5562b099ff896c8a8f15c109758d516','NA','2012-12-16','True'
'phonegap','745aa26885ccca68294b99f853b08daff517019d','Viras-','2012-12-04','False'
'phonegap','abde2d22e0be089ae19458e2182e0658d9f2f240','Guido Sabatini','2012-11-30','False'
'phonegap','ff683376e6df238134e519d4ba2d1bf464382de8','Manij Shrestha','2012-11-21','False'
'phonegap','ac02e812c3ca25298a16c8f2269b9fb47d5027c4','Manij Shrestha','2012-11-21','True'
'phonegap','564a5c7512cb42b5955104e147573492b527cedf','Samuel Fine','2012-11-20','False'
'phonegap','5fb8d51ca5f4d99119df0ca1b72a6d56079b577d','robdiciuccio','2012-11-09','False'
'phonegap','58220c6f86671095bd10e0cb432a18b086809e3b','robdiciuccio','2012-11-08','True'
'phonegap','69b5e8d96ac2ee9ebd22b9531d8efd7d8c91122e','Dimitrios Mistriotis','2012-10-30','False'
'phonegap','5f1415d6717d17b337ce8e7ced289ab81c717a05','Andreas Sommer','2012-10-17','True'
'phonegap','5fc31ea44f88557e166534068e17a2ed881b6315','Andreas Sommer','2012-10-12','False'
'phonegap','f5ef1182633cb635ecdae317fc7a03bbd7dcdf72','Andreas Sommer','2012-10-12','False'
'phonegap','04d7cb6b3116820a91d893bcbcfdaaea21f5242e','mbonet','2012-10-10','False'
'phonegap','7575313a98fe875ec791387bd0e823381193d7b1','Ranhiru Cooray','2012-09-30','False'
'phonegap','57e1cf183d779ec7a84dce7b8e276be94626d7eb','Ranhiru Cooray','2012-09-26','True'
'phonegap','1362a06aba1395c270807ad0b9daafc3591857f8','Braden Shepherdson','2012-08-30','False'
'phonegap','4f9071309406b328f94b2554f330795251c5e556','Tomaz','2012-08-29','False'
'phonegap','4b6e9ef145f3f6d51744ceaed9ce7d3585e8eb42','Max Ogden','2012-08-28','True'
'phonegap','161428abb9a58059fe67c346dfd256e5dfa8b8ef','Braden Shepherdson','2012-08-28','False'
