project,sha,author,commit_date,is_bug
'photoView','c03b52f68467257ab9629a5eab7dd01b89ebd661','mareksebera','2013-09-24','False'
'photoView','cf76c4470d11f9fa9148c5d9ac839a11c4d9c5b1','mareksebera','2013-09-24','True'
'photoView','2a6a34a3ba0bc1eadd6ccb08df6abf7c629c72d9','mareksebera','2013-09-23','True'
'photoView','2e1a74a671f534f6a333a5d58c22163ab174b81a','mareksebera','2013-09-23','False'
'photoView','564843a788de3356d45b4c0cb444796fea61e33f','mareksebera','2013-09-23','True'
'photoView','9479d481937814737c55b8f996b0cb959bca8d0c','mareksebera','2013-09-23','False'
'photoView','33479fc85cf42feba494d4f09fe16262f1698ace','mareksebera','2013-09-23','False'
'photoView','cc0179a2ec214d8501c150eabd902811e924e0b8','mareksebera','2013-09-23','False'
'photoView','eca942ff88b6696142bdad2959f09f806ecf84a8','mareksebera','2013-09-23','True'
'photoView','9016fea316dab3540372e1d9aac949754540e327','mareksebera','2013-09-23','False'
'photoView','87a31b7568c65e8d59e3f63e4d7d15030adab8a7','Doug Melton','2013-09-17','True'
'photoView','e6cdb600481ed036c6614ecaf4d05ed50b5f1780','Marek Sebera','2013-09-16','True'
'photoView','66401ee93a9bfd419eae0c97436ee1039c608aaf','mareksebera','2013-09-15','False'
'photoView','15208d576d1aac8d40977e5fd4dbe3f490342ae0','mareksebera','2013-09-14','False'
'photoView','29424627bb38100ace82bf5916b9ef65c4aba51c','mareksebera','2013-09-14','False'
'photoView','d8102ab58d1a78834f139000223c4df44800f78f','mareksebera','2013-09-14','False'
'photoView','c5904b2af9eeecf21d66a838804ab23feea7cdb8','mareksebera','2013-09-14','True'
'photoView','1634002211517d45e85ef215b10f62495061d257','mareksebera','2013-09-14','False'
'photoView','cffa892e5f3fed5bbccb91f81fd2c4ca6b8a4052','mareksebera','2013-09-14','False'
'photoView','a7458e1d829c8514c2b21b5510bda096a8df17eb','mareksebera','2013-09-13','False'
'photoView','832f9bf7786c1accb6d3b448c5a05b3f3d5233c8','mareksebera','2013-09-13','True'
'photoView','82ee9086121e24d308c9baba9bb52635c22b103e','mareksebera','2013-09-13','False'
'photoView','27e8d378b29469353c9ecc613778c2783ae18ae3','mareksebera','2013-09-13','False'
'photoView','070f5db662d0e2f7da777cf58270216d00ffd2c4','mareksebera','2013-09-13','False'
'photoView','5004dd1e1bd9ff40cc6ca6a61b7e5f71eb1240a4','mareksebera','2013-09-13','False'
'photoView','85da5ff280d9702ecab1f9e12850a4dca3e77552','mareksebera','2013-09-13','False'
'photoView','ba4eaea91ec3926bf55b870bee7da0eefb594171','mareksebera','2013-09-12','False'
'photoView','e03e4099def0dbd7b06a093cb6e82d04db3bd24d','mareksebera','2013-09-12','False'
'photoView','59c25fd978f287b2c1ef4e01488e1b46eaa8ef19','mareksebera','2013-09-12','True'
'photoView','d8ab4a893878bb3ece3e89204eb0d419e256df11','mareksebera','2013-09-12','True'
'photoView','a7fab44857625c92db8984b75853c7a481063b95','mareksebera','2013-09-12','True'
'photoView','0df7a1b044fc7146e86636c20506fb5bc8cfb68e','mareksebera','2013-09-12','False'
'photoView','8d1b662b5b148f67f6ff5267b55d2db320cb1547','mareksebera','2013-09-12','False'
'photoView','c7bb8adfeeef3e8858167d009639c0745884ea1a','mareksebera','2013-09-12','False'
'photoView','602959a5c50c17c1b94f000d6915be0da982155c','mareksebera','2013-09-12','False'
'photoView','7e94bdf7b6a7546023ab815b92c8071a6c8ce0d3','mareksebera','2013-09-12','False'
'photoView','5951499fb6731220572747c7e39d1893dffb50e4','mareksebera','2013-09-12','False'
'photoView','39d784a8e4f48ee0b4aaa30ed383bf35e4086332','mareksebera','2013-09-12','False'
'photoView','68464c72e6b6a58d90b9213206209367e6e0c05a','Chris Banes','2013-06-01','True'
'photoView','a4b7e0480178cda79f6dbd467367259159c08c0d','Chris Banes','2013-06-01','True'
'photoView','623ba2eb4190d80150d7db12a88481e7a82e86c0','Steve Lhomme','2013-03-25','False'
'photoView','a1c497fc0a9b43417f0778cc136b9c424064f8ac','Steve Lhomme','2013-03-18','False'
'photoView','c31a43f417bfb3f673c8327a5800d6b78c1b94f6','Chris Banes','2013-03-17','False'
'photoView','09ea65005f49b081b380ae823555974194c2ffbb','Steve Lhomme','2013-03-15','True'
'photoView','f98e331fbe914b84f78915477cf2269ef6815392','Steve Lhomme','2013-03-14','False'
'photoView','38e65b1b04c41fb3e956c3743b20357d057872e7','Steve Lhomme','2013-03-14','False'
'photoView','97481eb253a70161d39e30143ed6bb4a66210cb5','Steve Lhomme','2013-03-14','False'
