project,sha,author,commit_date,is_bug
'platform-frameworks-base','bdebe1ad9573eec25f4acff89085530f490cc178','Ashok Bhat','2014-01-06','False'
'platform-frameworks-base','d02e60fbd41e4f35160f1ea17a9c606d611bb60e','Jeff Hao','2014-01-06','False'
'platform-frameworks-base','b091d47a2e31a30581aa210419ff09bcc8715cdf','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','dcaf5593ddbfe8e1cacaf07813b1e827ba4dba8c','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','a0545dd54fdab5b284b509b7121515f15f4d728a','Ashok Bhat','2014-01-14','False'
'platform-frameworks-base','075e9a19ce645752f8282bc19c91b25978a7dc52','Ashok Bhat','2014-01-06','False'
'platform-frameworks-base','b1bd1fe7fd9ed6b6e4518713ef5f5716a84d97e8','Narayan Kamath','2014-01-14','False'
'platform-frameworks-base','842d44ec1765e01f4a37af99cc1935b4d0399758','Narayan Kamath','2014-01-10','False'
'platform-frameworks-base','0c10cc6052dc279f020e4adf069961e6e8f9dd6e','Ashok Bhat','2014-01-10','False'
'platform-frameworks-base','63a37153238d95cf8897939e6d6e8fbc56e9ec7f','Ashok Bhat','2014-01-10','False'
'platform-frameworks-base','c20cadbdad0cdfe8e56431c22bd26ae666101e89','Ashok Bhat','2014-01-10','False'
'platform-frameworks-base','a931d5218cfee89c7629ffa6cde324fa966449f9','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','446ef1de8d373c1b017df8d19ebf9a47811fb402','riddle_hsu','2014-01-09','True'
'platform-frameworks-base','5ceef3288d9a0b3e5510addb0abe6f358bc8c2ee','David Friedman','2014-01-08','True'
'platform-frameworks-base','96804bc8fb3d6b2de11e3b9779c976e7b0e96ee8','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','99a1ef2b7f1eb7266e1c3782f649de0d8dbe23bf','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','0c3f9210166a861fe568ac15994a0d7a42f7e28a','Ashok Bhat','2014-01-08','False'
'platform-frameworks-base','c6f429007c2c402be71f69693cb1d2e6a1c8d0cf','Narayan Kamath','2014-01-08','True'
'platform-frameworks-base','58b8b24256bdc2b613b7fda9151845ed9898a4c7','Ashok Bhat','2014-01-02','False'
'platform-frameworks-base','738702d28ab7e0e89e3c6e18fd46cc1361917eb9','Ashok Bhat','2014-01-02','False'
