project,sha,author,commit_date,is_bug
'rootbeer','f2216803ba36a3a7b9a256658740bbd0325f1b14','Phil Pratt-Szeliga','2014-01-19','False'
'rootbeer','8caf01a12b50cac2d19961f0d5c936f130fe7465','Phil Pratt-Szeliga','2014-01-19','True'
'rootbeer','ebef124aeb08714cd3dc1550d8fa0f63da281d2e','millecker','2014-01-19','False'
'rootbeer','02efed283c2c6bcdbb8bef23d363e640c846de32','millecker','2014-01-19','True'
'rootbeer','3a8bab7480368c6203a7c40c1411ba3183d858ac','Phil Pratt-Szeliga','2014-01-18','True'
'rootbeer','8ed06032cd375bf545f159aae4c50425dad5e48c','millecker','2014-01-17','False'
'rootbeer','cb9937a7cf9d99bc7fb36ee9b9449cf3681feb11','Phil Pratt-Szeliga','2014-01-02','False'
'rootbeer','6ac6995d3d9fd635ffa0d2e1d34c617feafb4a7a','Phil Pratt-Szeliga','2013-12-10','True'
'rootbeer','3cb5db7447949d54926caa586034ec16657786be','Phil Pratt-Szeliga','2013-12-10','False'
'rootbeer','1db7e7fde9d1310d12d8b20414728d162d6ef2ed','Phil Pratt-Szeliga','2013-12-01','False'
'rootbeer','f012d320f162f1b80d282a0d07b2b8c51765cd7a','Phil Pratt-Szeliga','2013-12-01','False'
'rootbeer','15420edf2b13cd008468f13f045574b1d50bd56b','Phil Pratt-Szeliga','2013-11-25','True'
'rootbeer','2408cee15bc93a2f9498dda01b2021f8c333d625','Phil Pratt-Szeliga','2013-11-23','True'
'rootbeer','82e8d5436a5b0e4ec9d57c5a31d649ecdb3bd798','Phil Pratt-Szeliga','2013-11-21','False'
'rootbeer','96c625cfcde42ea3a87f1f8947219cfd1cec247c','Phil Pratt-Szeliga','2013-08-25','False'
'rootbeer','3c06b265f83abb0bf981f45e74edb9626af22718','Phil Pratt-Szeliga','2013-08-25','True'
'rootbeer','b6b45f2265d001d7dabce25595d730050eb5c268','Phil Pratt-Szeliga','2013-08-13','True'
'rootbeer','7e9f32e3c2a24adb450723b47d347eb0ea1014ff','Phil Pratt-Szeliga','2013-08-13','False'
'rootbeer','eec0837721d33845c8a747572148e65be430564b','Phil Pratt-Szeliga','2013-08-13','False'
'rootbeer','7125916b589756af570d4dd973d371f4480bb2e8','Phil Pratt-Szeliga','2013-08-13','False'
'rootbeer','79e0f8829faa9b0cc2650899c2ff4d167a8bf8a0','Phil Pratt-Szeliga','2013-07-23','True'
