project,sha,author,commit_date,is_bug
'scribe-java','65ae79d2702ccb192161db8fc6d1edaa5df07be8','Pablo Fernandez','2014-01-14','False'
'scribe-java','71022007663ce4480c1e7ec79d762330d4e4207c','Abby M','2014-01-09','False'
'scribe-java','d25432be0517fa6b058a66fb1286e1a037582494','Dave Brosius','2013-12-25','False'
'scribe-java','f000558883403da839df73b33796825a3c626c48','Joe Littlejohn','2013-12-10','False'
'scribe-java','94add5a8dc5e14e06f3f10108a3e33f7825d56e6','Pablo Fernandez','2013-12-06','False'
'scribe-java','d1274eb001b310b2d6674e42c096a32475b6559a','Angelo','2013-11-25','False'
'scribe-java','8fb4d5d4fd23d66e1840bc9da85aec1c771e2e25','Angelo','2013-11-23','False'
'scribe-java','f661af08c016f710329040c677710b0a96385ed3','denis','2013-08-23','False'
'scribe-java','a4851d8d9f6845b43d94f1ac4528ae63e3385fd8','Justin Plock','2013-06-05','False'
'scribe-java','9b6a5ec1a82a65a563fc940f36d44d4d40c1b00d','Daan de Wit','2013-03-01','False'
'scribe-java','86f12eb5bcc1059833c0b8b19d5eb0c2a1726eaa','Pablo Fernandez','2013-02-28','False'
'scribe-java','b85ca334ccda499ca7f7f02f0555c8f4a107151d','Pablo Fernandez','2013-02-20','False'
'scribe-java','b3d83739980aa214bd93ed6c1a6a7ce4a4ce4077','Pablo Fernandez','2013-02-20','False'
'scribe-java','045914d2c0b1a049509fd9ddcdc77efff075985a','Pablo Fernandez','2013-02-14','True'
'scribe-java','28cd1740c1874627b58fe99f126a7cfb3d729a05','Pablo Fernandez','2013-02-14','False'
'scribe-java','e0a13c80504cf052260b4ac6f64f9fbe53846edf','Pablo Fernandez','2013-02-13','False'
'scribe-java','69eee25cacb270abe78ce1771694df5a68538c78','Pablo Fernandez','2013-02-13','True'
'scribe-java','0cb3301b8e07a54c7ff8bdd99961de421e6a49f2','Pablo Fernandez','2013-02-12','False'
'scribe-java','85257fd8959d1f32934f1a9ae60066a6139a5f64','NA','2012-11-27','False'
'scribe-java','9a99a44c5f5a7e557f0a4bfa5d64a2587947b590','Pablo Fernandez','2012-10-23','False'
'scribe-java','b129a2c04f3f36a378dc851b14cafad7dea8c245','Dave Syer','2012-10-23','True'
'scribe-java','09d85d6713af6c97ae7d4450f88ceac20c60e2fd','Pablo Fernandez','2012-10-10','False'
'scribe-java','ca470f87a9c8c61c78aa020289a594be87394f74','Arieh Bibliowicz','2012-09-13','False'
'scribe-java','d4474cd6034a5653cfb7887d5d949dab20c98876','Arieh Bibliowicz','2012-09-13','False'
'scribe-java','3d2a3475d9bd94517695ea30ba7c416d50a1bf27','Arieh Bibliowicz','2012-09-11','False'
'scribe-java','b058b68a36832e665dc10e304a23579be943648d','Joe Littlejohn','2012-09-06','False'
'scribe-java','417d2e782f079459f1486ef23cac433e6ff4c8c3','Julio Gutierrez','2012-09-06','False'
'scribe-java','d1a7b474f57520314fee59bc422c6a1b96ab8559','Marcin Swierczynski','2012-09-05','False'
'scribe-java','5a88fa3b07a316f34de47ac7ed48b72fb6b619bc','eranation','2012-09-03','True'
'scribe-java','b777162322a6c6cda7baf24ba136bef57e07b3e5','eranation','2012-09-03','True'
'scribe-java','57409b50ac3cdd6a0f71421d4d29fd4a78ec3031','whaley','2012-08-20','False'
'scribe-java','6e6fd53306824462bfb42fa7b10690570a8e7c1c','eranation','2012-08-17','True'
'scribe-java','a121c3aa47a5d158f33aebba110e1d81a24ca8f3','eranation','2012-08-17','False'
'scribe-java','97fa26fce79f98d467edc1997b1a49df162bdb19','Pablo Fernandez','2012-06-22','False'
