project,sha,author,commit_date,is_bug
'springside4','d1e96f479ee873c4cadfff2c748821d14262dd34','Calvin','2014-01-18','False'
'springside4','c771be6c93416de4d1320bc2468c26ee06f9d274','Calvin','2014-01-18','False'
'springside4','f5c354dd3f341c27413aa1a9544109c6493e9c38','Calvin','2014-01-18','False'
'springside4','5a1eb2ce96c065a0eba9cfadf5f5f1f24e17f9fd','Calvin','2014-01-18','False'
'springside4','9ad845d4e8d83f9a3d9b4be0d9b4d1c311910926','Calvin','2014-01-18','True'
'springside4','dae36f31d139ce9d8bbd7ac1d2ba4a8b93a474e0','Calvin','2014-01-18','False'
'springside4','e6f36ef3961ef8b44b42aea12f2f06e76d80f03f','Calvin','2014-01-17','True'
'springside4','fe6524977f349de302f15effee128ab6346c7313','Calvin','2014-01-17','False'
'springside4','6c8366ca087aed0ab4cd26bd723ccea852bab130','Calvin','2014-01-17','True'
'springside4','e75af17d8c4470dd31ef2eff79fa0180aaa60d86','Calvin','2014-01-17','False'
'springside4','3d798b6000ee3d218b86544d38850ab247383368','Calvin','2014-01-17','False'
'springside4','f513211300787bf100818a74e756007df4aca7d1','Calvin','2014-01-17','False'
'springside4','f1b2d42d3ec4c9e64656f5cc4a3b6db591b6270d','Calvin','2014-01-16','False'
'springside4','849506e1299a8bb663443e80a54688a21b83574b','Calvin','2014-01-16','False'
'springside4','4c78c00dfbe38fb69ad7bab427b7520644dce4f4','Calvin','2014-01-16','False'
'springside4','f502088aadba3a30f1151706aca0e753e461778f','Calvin','2014-01-16','False'
'springside4','17483bc954424af2298d7e1e04de5a3dfb638381','Calvin','2014-01-15','False'
'springside4','daf16e57ba01cd61c796b0ccfae969d6a71c4d38','Calvin','2014-01-15','False'
'springside4','ee96d83eeca21ce1f96f82f8111bb8e044d43a69','Calvin','2013-12-27','False'
'springside4','cc90f75d851c0e534bb27554b8b877f42ce36ec4','Calvin','2013-12-26','False'
'springside4','30279b3fcee5cc627b746708dbecb089553a18e2','Calvin','2013-12-26','False'
'springside4','2aab34ff962e77844700b660dd929247a07c6a2a','Calvin','2013-12-16','False'
'springside4','d1492657248f99204d14db0490a95fb0a0807734','Calvin','2013-12-16','False'
'springside4','bd12f547038f1d92a9c2d2d45202571d15bb888f','Calvin','2013-12-14','False'
'springside4','c5e9b1a64479605c8457793e91443fc97a72600d','Calvin','2013-12-14','False'
'springside4','d460d19f19cb1076cfa76e7d8cd44b969b1230e9','Calvin','2013-12-10','False'
'springside4','85a3e09c9ca92dffbe39d4ab7962a406deb8fd2d','Calvin','2013-12-09','False'
'springside4','a6f10ea1001e48199c5c6f408b09db2bf51168fd','Calvin','2013-12-09','False'
'springside4','dfc31032bfafc090bbd572fd410ca52924b2bed6','Calvin','2013-12-06','False'
'springside4','63f51e646c4e6baa1845016511e515fc5b02771c','Calvin','2013-12-05','False'
'springside4','d2843df505fa17dbff20ac473b352f4b3d85c9eb','Calvin','2013-12-03','False'
'springside4','488b9daa74213a0c35517a296837181b7dabac7c','Calvin','2013-12-03','True'
'springside4','f1047cf063981c72d85d66b9f394ac08c4f283d5','Calvin','2013-12-03','True'
'springside4','e92ebddd0b929f45b7e68241bcd0ea76b44ad147','Calvin','2013-12-02','False'
'springside4','c7dc04ed828950daabd99d39f96f499d6b7eeff5','Calvin','2013-11-21','False'
'springside4','b834cb0ca081524c14ca4c35795e1d27f1f2c089','Calvin','2013-11-11','False'
'springside4','c1729a8759b61a2128494c27006ab0801fa4ee9e','Calvin','2013-10-28','False'
'springside4','8e0bc04fcef5f25debf1d2b23879d34550750e03','Calvin','2013-10-22','True'
'springside4','0a43c81bda1ac709cd4c11aa09876aa0c0e01276','Calvin','2013-10-22','True'
