project,sha,author,commit_date,is_bug
'storm','731a8e517eee130aed7648033e7726ee0025c91e','P. Taylor Goetz','2013-12-09','False'
'storm','c638db0e88e3c56f808c8a76a88f94d7bf1988c4','Brenden Matthews','2013-10-30','True'
'storm','5b071c0bdf016b7f4d0e62114f7d9362521e4926','Kang Xiao','2013-11-05','False'
'storm','45aebfe78b1643bb950d48b08c33e0fafef09b17','Kang Xiao','2013-11-05','False'
'storm','213102b36f89002e1f84615b3c1162aff707073f','Brenden Matthews','2013-10-18','True'
'storm','242108dbd5fb098421dd73d306e2701b3b7d2dfd','Homer Strong','2013-10-16','False'
'storm','b66d028f90e9376c16c0be1736411300d4bad587','Robert (Bobby) Evans','2013-10-01','False'
'storm','0616f5960ab4563d771c9b861755a63cf4aa4180','Boris','2013-09-30','True'
'storm','85895c84ed28eb75ec6e5f7997cda74ce1bed61f','Jake Donham','2013-08-26','True'
'storm','46cc0fcfcff077ede12cb14168db8fd11df8b227','Jake Donham','2013-08-26','False'
'storm','049905bb60de3984fe36dc1079649090e3be5dfa','Derek Dagit','2013-08-21','True'
'storm','80244bf796ac6fedcbdc74c9e2ca6b7bd58a461d','Nathan Marz','2013-08-15','True'
'storm','02b61b69855f9b0475d7d3473ed29730b1c26355','ankitoshniwal','2013-08-09','False'
'storm','0997784c0eeea67e4e0fda1b365dce571e121e69','ankitoshniwal','2013-08-09','False'
'storm','758616c624fba00c1133ae197989d3f785495039','ankitoshniwal','2013-08-09','False'
'storm','7f10c1ee8fc707dc0dc577c2063a794207db26dd','Philip (flip) Kromer','2013-07-20','False'
'storm','9ae92648f8398fdd4580974a50e0078bc803490d','Philip (flip) Kromer','2013-07-29','True'
'storm','af497811f5cb977f6e705c61958678830abcef6d','Philip (flip) Kromer','2013-07-20','True'
'storm','89968250e16635fe37e5f45c7484a07c88d83233','Derek Dagit','2013-07-18','False'
'storm','ef0221979786e12c7210b2eb55f3c32c259454e8','ankitoshniwal','2013-07-17','False'
'storm','d80eded266087bd438bea47db58135a06327d76e','P. Taylor Goetz','2013-07-11','False'
'storm','f9cf61d75e49305e41e06736f1dd75f4c7c2abfa','Derek Dagit','2013-07-10','False'
'storm','aac85e221722d61ba9a2aa2395ca6a5504028a95','ankitoshniwal','2013-07-03','False'
'storm','ceb002f155e599c73a86021c5dea0aec43a8c204','ankitoshniwal','2013-07-03','False'
'storm','f5455a01fbfd6870b70b146d722a7079dc84e2e6','Homer Strong','2013-06-25','False'
